$GPGGA,051736.70,3542.295759911,N,13943.269275407,E,5,11,1.10,24.837,M,36.997,M,4.7,4107*40
$PMSBATV,051736.70,2,2,-0.22171,-0.36623,-26.79670,0.000,-0.000,-0.000,139.79692,0.000*57,,,
$GPGGA,051736.80,3542.295759900,N,13943.269275437,E,5,11,1.10,24.837,M,36.997,M,4.8,4107*43
$PMSBATV,051736.80,2,2,-0.22830,-0.36188,-26.79559,-0.000,0.000,-0.000,139.79692,0.000*5A,,,
$GPGGA,051736.90,3542.295759888,N,13943.269275457,E,4,14,0.89,24.837,M,36.997,M,4.9,4107*41
$PMSBATV,051736.90,2,2,-0.23227,-0.37031,-26.79388,0.000,0.000,-0.000,139.79692,0.000*73,,,
$GPGGA,051737.00,3542.295759876,N,13943.269275481,E,5,11,1.10,24.837,M,36.997,M,5.0,4107*4E
$PMSBATV,051737.00,2,2,-0.23225,-0.36599,-26.79733,-0.000,-0.000,0.000,139.79692,0.000*56,,,
$GPGGA,051737.10,3542.295759917,N,13943.269275527,E,5,11,1.10,24.837,M,36.997,M,5.1,4107*45
$PMSBATV,051737.10,2,2,-0.23154,-0.36669,-26.79492,0.000,0.000,0.000,139.79692,0.000*56,,,
$GPGGA,051737.20,3542.295759961,N,13943.269275572,E,5,11,1.10,24.837,M,36.997,M,5.2,4107*44
$PMSBATV,051737.20,2,2,-0.23266,-0.36612,-26.78949,0.000,0.000,0.000,139.79692,0.000*51,,,
$GPGGA,051737.30,3542.295760005,N,13943.269275616,E,5,11,1.10,24.837,M,36.997,M,5.3,4107*44
$PMSBATV,051737.30,2,2,-0.23646,-0.35923,-26.77851,0.000,0.000,0.000,139.79692,0.000*5F,,,
$GPGGA,051737.40,3542.295760039,N,13943.269275663,E,5,11,1.10,24.838,M,36.997,M,5.4,4107*46
$PMSBATV,051737.40,2,2,-0.23404,-0.36088,-26.77588,-0.000,-0.000,0.000,139.79692,0.000*5E,,,
$GPGGA,051737.50,3542.295760066,N,13943.269275717,E,5,11,1.10,24.838,M,36.997,M,5.5,4107*4E
$PMSBATV,051737.50,2,2,-0.23872,-0.36456,-26.77628,-0.001,0.000,-0.000,139.79692,0.000*5D,,,
$GPGGA,051737.60,3542.295760108,N,13943.269275765,E,5,11,1.10,24.838,M,36.997,M,5.6,4107*42
$PMSBATV,051737.60,2,2,-0.24043,-0.36408,-26.77874,0.000,0.000,-0.000,139.79692,0.000*73,,,
$GPGGA,051737.70,3542.295760153,N,13943.269275820,E,5,11,1.10,24.838,M,36.997,M,5.7,4107*42
$PMSBATV,051737.70,2,2,-0.24563,-0.35635,-26.77783,0.000,0.000,0.000,139.79692,0.000*50,,,
$GPGGA,051737.80,3542.295760191,N,13943.269275864,E,5,11,1.10,24.838,M,36.997,M,5.8,4107*4C
$PMSBATV,051737.80,2,2,-0.24492,-0.36204,-26.78309,0.000,0.000,0.000,139.79692,0.000*5C,,,
$GPGGA,051737.90,3542.295760231,N,13943.269275911,E,5,11,1.10,24.838,M,36.997,M,5.9,4107*46
$PMSBATV,051737.90,2,2,-0.24570,-0.35897,-26.77952,-0.000,0.000,0.000,139.79692,0.000*75,,,
$GPGGA,051738.00,3542.295760261,N,13943.269275962,E,5,11,1.10,24.839,M,36.997,M,6.0,4107*4A
$PMSBATV,051738.00,2,2,-0.24463,-0.36110,-26.78072,-0.000,-0.000,0.000,139.79692,0.000*5C,,,
$GPGGA,051738.10,3542.295760300,N,13943.269276006,E,5,11,1.10,24.839,M,36.997,M,6.1,4107*44
$PMSBATV,051738.10,2,2,-0.23890,-0.36026,-26.78569,0.000,-0.000,0.000,139.79692,0.000*7C,,,
$GPGGA,051738.20,3542.295760344,N,13943.269276050,E,5,11,1.10,24.839,M,36.997,M,6.2,4107*47
$PMSBATV,051738.20,2,2,-0.24005,-0.35337,-26.78322,0.000,-0.000,0.000,139.79692,0.000*75,,,
$GPGGA,051738.30,3542.295760383,N,13943.269276107,E,5,11,1.10,24.839,M,36.997,M,6.3,4107*4F
$PMSBATV,051738.30,2,2,-0.24625,-0.35856,-26.77631,-0.000,0.000,0.000,139.79692,0.000*74,,,
$GPGGA,051738.40,3542.295760416,N,13943.269276155,E,5,11,1.10,24.839,M,36.997,M,6.4,4107*43
$PMSBATV,051738.40,2,2,-0.24573,-0.35822,-26.77554,-0.000,0.000,0.000,139.79692,0.000*70,,,
$GPGGA,051738.50,3542.295760443,N,13943.269276203,E,4,14,0.89,24.839,M,36.997,M,6.5,4107*46
$PMSBATV,051738.50,2,2,-0.24368,-0.36706,-26.77334,-0.000,-0.000,0.000,139.79692,0.000*5A,,,
$GPGGA,051738.60,3542.295759156,N,13943.269275755,E,4,14,0.89,24.837,M,36.997,M,6.6,4107*46
$PMSBATV,051738.60,2,2,-0.24666,-0.36404,-26.77083,-0.000,-0.000,0.000,139.79692,0.000*5C,,,
$GPGGA,051738.70,3542.295758053,N,13943.269274896,E,5,11,1.10,24.836,M,36.997,M,6.7,4107*46
$PMSBATV,051738.70,2,2,-0.24406,-0.36179,-26.77372,-0.000,-0.000,0.000,139.79692,0.000*5B,,,
$GPGGA,051738.80,3542.295757690,N,13943.269274374,E,5,11,1.10,24.835,M,36.997,M,6.8,4107*44
$PMSBATV,051738.80,2,2,-0.24188,-0.36418,-26.77614,-0.000,0.000,-0.000,139.79692,0.000*50,,,
$GPGGA,051738.90,3542.295757730,N,13943.269274420,E,5,11,1.10,24.835,M,36.997,M,6.9,4107*49
$PMSBATV,051738.90,2,2,-0.24826,-0.36358,-26.77466,-0.000,0.000,-0.000,139.79692,0.000*58,,,
$GPGGA,051739.00,3542.295757768,N,13943.269274469,E,5,11,1.10,24.835,M,36.997,M,7.0,4107*49
$PMSBATV,051739.00,2,2,-0.24518,-0.36420,-26.77524,-0.000,0.000,0.000,139.79692,0.000*72,,,
$GPGGA,051739.10,3542.295757808,N,13943.269274518,E,5,11,1.10,24.835,M,36.997,M,2.1,4107*42
$PMSBATV,051739.10,2,2,-0.24516,-0.36355,-26.77447,-0.000,0.000,0.000,139.79692,0.000*7C,,,
$GPGGA,051739.20,3542.295757798,N,13943.269274534,E,5,11,1.10,24.836,M,36.997,M,2.2,4107*49
$PMSBATV,051739.20,2,2,-0.24550,-0.37110,-26.77600,0.000,-0.000,-0.000,139.79692,0.000*53,,,
$GPGGA,051739.30,3542.295757787,N,13943.269274554,E,5,11,1.10,24.836,M,36.997,M,2.3,4107*41
