Message Type,UTC Time,Latitude,Latitude Direction,Longitude,Longitude Direction,GPS Quality Indicator,Number of Satellites,Horizontal Dilution of Precision (HDOP),Altitude,Altitude Units,Geoid Separation,Geoid Separation Units,DGPS Age,DGPS Station ID,Checksum
$GPGGA,121447,3542.306426,N,13943.28009,E,2,12,1.05,31.971,M,36.998,M,,,62
$GPGGA,121447.1,3542.306426,N,13943.28009,E,2,12,1.05,31.973,M,36.998,M,,,60
$GPGGA,121447.2,3542.306426,N,13943.28009,E,2,12,1.05,31.974,M,36.998,M,,,66
$GPGGA,121447.3,3542.306426,N,13943.28009,E,2,12,1.05,31.976,M,36.998,M,,,60
$GPGGA,121447.4,3542.306426,N,13943.28009,E,2,12,1.05,31.978,M,36.998,M,,,61
$GPGGA,121447.5,3542.306427,N,13943.28009,E,2,12,1.05,31.979,M,36.998,M,,,6C
$GPGGA,121447.6,3542.306427,N,13943.28009,E,2,12,1.05,31.981,M,36.998,M,,,65
$GPGGA,121447.7,3542.306427,N,13943.28009,E,2,12,1.05,31.982,M,36.998,M,,,61
$GPGGA,121447.8,3542.306427,N,13943.28009,E,2,12,1.05,31.984,M,36.998,M,,,6C
$GPGGA,121447.9,3542.306427,N,13943.28009,E,2,12,1.05,31.985,M,36.998,M,,,6E
$GPGGA,121448,3542.306427,N,13943.28009,E,2,12,1.05,31.987,M,36.998,M,,,60
$GPGGA,121448.1,3542.306427,N,13943.28009,E,2,12,1.05,31.988,M,36.998,M,,,63
$GPGGA,121448.2,3542.306427,N,13943.28009,E,2,12,1.05,31.99,M,36.998,M,,,6D
$GPGGA,121448.3,3542.306428,N,13943.28009,E,2,12,1.05,31.991,M,36.998,M,,,60
$GPGGA,121448.4,3542.306428,N,13943.28009,E,2,12,1.05,31.993,M,36.998,M,,,69
$GPGGA,121448.5,3542.306428,N,13943.28009,E,2,12,1.05,31.994,M,36.998,M,,,68
$GPGGA,121448.6,3542.306428,N,13943.28009,E,2,12,1.05,31.996,M,36.998,M,,,63
$GPGGA,121448.7,3542.306429,N,13943.28009,E,2,12,1.05,31.997,M,36.998,M,,,65
$GPGGA,121448.8,3542.306428,N,13943.28009,E,2,12,1.05,31.999,M,36.998,M,,,6E
$GPGGA,121448.9,3542.306428,N,13943.28008,E,2,12,1.05,32,M,36.998,M,,,61
$GPGGA,121449,3542.306427,N,13943.28008,E,2,12,1.05,32.002,M,36.998,M,,,6D
$GPGGA,121449.1,3542.306427,N,13943.28008,E,2,12,1.05,32.003,M,36.998,M,,,69
$GPGGA,121449.2,3542.306426,N,13943.28008,E,2,12,1.05,32.005,M,36.998,M,,,66
$GPGGA,121449.3,3542.306426,N,13943.28008,E,2,12,1.05,32.006,M,36.998,M,,,69
$GPGGA,121449.4,3542.306425,N,13943.28008,E,2,12,1.05,32.008,M,36.998,M,,,62
