$GPGGA,090205.80,3542.296515764,N,13943.272252301,E,4,11,1.05,23.589,M,36.997,M,3.8,2107*48
$PMSBATV,090205.80,2,2,-0.35869,0.55299,29.26631,0.000,0.000,0.000,41.11267,0.000*68,,,
$GPGGA,090205.90,3542.296515804,N,13943.272252361,E,4,10,1.11,23.589,M,36.997,M,3.9,2107*43
$PMSBATV,090205.90,2,2,-0.35608,0.55116,29.26401,0.000,0.000,0.000,41.11267,0.000*65,,,
$GPGGA,090206.00,3542.296515755,N,13943.272252342,E,4,10,1.11,23.589,M,36.997,M,4.0,2107*4D
$PMSBATV,090206.00,2,2,-0.34886,0.55084,29.26449,0.000,-0.000,0.000,41.11267,0.000*4D,,,
$GPGGA,090206.10,3542.296515755,N,13943.272252428,E,4,10,1.11,23.589,M,36.997,M,4.1,2107*46
$PMSBATV,090206.10,2,2,-0.34680,0.54170,29.26354,-0.000,-0.000,0.000,41.11267,0.000*69,,,
$GPGGA,090206.20,3542.296515773,N,13943.272252545,E,4,11,1.05,23.589,M,36.997,M,4.2,2107*4C
$PMSBATV,090206.20,2,2,-0.34956,0.54888,29.26358,-0.000,-0.000,-0.000,41.11267,0.000*41,,,
$GPGGA,090206.30,3542.296515731,N,13943.272252445,E,4,11,1.05,23.588,M,36.997,M,4.3,2107*4A
$PMSBATV,090206.30,2,2,-0.34474,0.54953,29.26369,0.000,0.000,0.000,41.11267,0.000*65,,,
$GPGGA,090206.40,3542.296515755,N,13943.272252487,E,4,11,1.05,23.588,M,36.997,M,4.4,2107*46
$PMSBATV,090206.40,2,2,-0.33641,0.55590,29.26271,0.000,0.000,-0.000,41.11267,0.000*46,,,
$GPGGA,090206.50,3542.296515821,N,13943.272252538,E,4,11,1.05,23.588,M,36.997,M,4.5,2107*4F
$PMSBATV,090206.50,2,2,-0.34112,0.54926,29.26241,0.000,0.000,-0.000,41.11267,0.000*42,,,
$GPGGA,090206.60,3542.296515812,N,13943.272252382,E,4,11,1.05,23.588,M,36.997,M,4.6,2107*48
$PMSBATV,090206.60,2,2,-0.34697,0.54841,29.26015,-0.000,0.000,0.000,41.11267,0.000*48,,,
$GPGGA,090206.70,3542.296515141,N,13943.272250417,E,4,11,1.05,23.590,M,36.997,M,4.7,2107*47
$PMSBATV,090206.70,2,2,-0.34396,0.54295,29.26130,0.000,0.000,0.000,41.11267,0.000*65,,,
$GPGGA,090206.80,3542.296515416,N,13943.272250428,E,4,11,1.05,23.591,M,36.997,M,4.8,2107*4D
$PMSBATV,090206.80,2,2,-0.34086,0.54883,29.25912,-0.000,-0.000,-0.000,41.11267,0.000*43,,,
$GPGGA,090206.90,3542.296515310,N,13943.272250194,E,4,11,1.05,23.591,M,36.997,M,4.9,2107*4E
$PMSBATV,090206.90,2,2,-0.34463,0.54944,29.26057,-0.000,0.000,0.000,41.11267,0.000*4C,,,
$GPGGA,090207.00,3542.296515295,N,13943.272250197,E,4,11,1.05,23.591,M,36.997,M,5.0,2107*41
$PMSBATV,090207.00,2,2,-0.33664,0.55894,29.25715,-0.000,-0.000,0.000,41.11267,0.000*64,,,
$GPGGA,090207.10,3542.296515331,N,13943.272250095,E,4,11,1.05,23.591,M,36.997,M,5.1,2107*4D
$PMSBATV,090207.10,2,2,-0.32418,0.55754,29.25987,-0.000,-0.000,-0.000,41.11267,0.000*46,,,
$GPGGA,090207.20,3542.296515163,N,13943.272250055,E,4,11,1.05,23.591,M,36.997,M,5.2,2107*44
$PMSBATV,090207.20,2,2,-0.33494,0.55347,29.25976,-0.000,-0.000,0.000,41.11267,0.000*65,,,
$GPGGA,090207.30,3542.296515124,N,13943.272250087,E,4,11,1.05,23.590,M,36.997,M,5.3,2107*49
$PMSBATV,090207.30,2,2,-0.34051,0.55241,29.26263,0.000,-0.000,0.000,41.11267,0.000*48,,,
$GPGGA,090207.40,3542.296515226,N,13943.272250044,E,4,11,1.05,23.590,M,36.997,M,5.4,2107*47
$PMSBATV,090207.40,2,2,-0.34028,0.55460,29.26270,0.000,0.000,-0.000,41.11267,0.000*46,,,
$GPGGA,090207.50,3542.296515426,N,13943.272250187,E,4,11,1.05,23.590,M,36.997,M,5.5,2107*4F
$PMSBATV,090207.50,2,2,-0.33645,0.55597,29.26249,-0.000,0.000,-0.000,41.11267,0.000*63,,,
$GPGGA,090207.60,3542.296515471,N,13943.272250230,E,4,11,1.05,23.590,M,36.997,M,5.6,2107*42
$PMSBATV,090207.60,2,2,-0.34165,0.55181,29.26175,0.000,0.000,-0.000,41.11267,0.000*40,,,
$GPGGA,090207.70,3542.296515454,N,13943.272250177,E,4,11,1.05,23.589,M,36.997,M,5.7,2107*4D
$PMSBATV,090207.70,2,2,-0.33950,0.54604,29.26163,0.000,-0.000,0.000,41.11267,0.000*44,,,
$GPGGA,090207.80,3542.296515571,N,13943.272250198,E,4,11,1.05,23.589,M,36.997,M,5.8,2107*4A
$PMSBATV,090207.80,2,2,-0.33629,0.54900,29.26109,-0.000,0.000,0.000,41.11267,0.000*4D,,,
$GPGGA,090207.90,3542.296515667,N,13943.272250226,E,4,11,1.05,23.589,M,36.997,M,5.9,2107*48
