090935.00,-32701.559720839196,-10117.569821566176
090935.10,-32701.559739327382,-10117.569823097638,-3.095102477982605
090935.20,-32701.559754119207,-10117.569823114485,2.9073006322895147
090935.30,-32701.559770770542,-10117.569815592933,2.9530600346771245
090935.40,-32701.55978556024,-10117.56981711558,3.0917236342818426
090935.50,-32701.55980035773,-10117.569814116225,2.9072954827583324
090935.60,-32701.55981700269,-10117.569809610874,2.877263961512801
090935.70,-32701.55983364907,-10117.569805105526,2.999785136664972
090935.80,-32701.55984844231,-10117.569805122372,-3.140453799765552
090935.90,-32701.559866933327,-10117.569805143432,3.0947899942638437
090936.00,-32701.55987987697,-10117.56980365007,2.782595571270429
090936.10,-32701.55989097951,-10117.569796119902,2.607351005563329
090936.20,-32701.55990023033,-10117.569791608432,2.8274997155506867
090936.30,-32701.55990947761,-10117.569790110862,2.7172711005376518
090936.40,-32701.559916879545,-10117.569784086883,2.8273760749617507
090936.50,-32701.559927975006,-10117.569784099522,-3.140453772316036
090936.60,-32701.559939069048,-10117.569784112155,-3.015627773980054
090936.70,-32701.559952009153,-10117.569787143095,-2.875011677424298
090936.80,-32701.559966797435,-10117.569791684242,-2.926368994162056
090936.90,-32701.559979737536,-10117.569793204784,-3.0053304179671607
090937.00,-32701.559988979858,-10117.569794725716,-2.9786830510620983
090937.10,-32701.560007469463,-10117.569797762977,-2.917671075085254
090937.20,-32701.56002225633,-10117.569802304124,-2.7976807822102248
090937.30,-32701.560037039657,-10117.569808353375,-2.797695973101606
090937.40,-32701.56005182794,-10117.569812894522,-2.7767810693452177
090937.50,-32701.5600647645,-10117.569818941663,-2.7767085260860895
090937.60,-32701.560079552783,-10117.569823485115,-2.7300812606085
090937.70,-32701.56009248651,-10117.56983104036,-2.7266981545295663
090937.80,-32701.560103577016,-10117.569834066895,-2.8750804984641944
090937.90,-32701.560114666812,-10117.569837095733,-2.7803382481310424
090938.00,-32701.56012760408,-10117.569843145176,-2.825046719927556
090938.10,-32701.56014239449,-10117.569846178221,-2.8164577561145436
090938.20,-32701.560159026703,-10117.56985373768,-2.7532802206724947
090938.30,-32701.560175660336,-10117.569859786732,-2.8485480999086366
090938.40,-32701.560194146397,-10117.569864334397,-2.9176572508140244
090938.50,-32701.560208934683,-10117.56986736514,-2.7768364342974103
090938.60,-32701.560221869826,-10117.569874920386,-2.6930562927875705
090938.70,-32701.560240350933,-10117.569882484248,2.30667664115113
090938.80,-32701.560247788977,-10117.569846298258,1.6439271180959234
090938.90,-32701.560245985405,-10117.569805575135,1.5257027823835148
090939.00,-32701.560244181837,-10117.569766360111,1.9026772197150512
090939.10,-32701.56025897366,-10117.569767887362,-2.9787475581706166
090939.20,-32701.56027191093,-10117.569770916001,1.902555632644302
090939.30,-32701.560271958373,-10117.569730194984,1.9750678193292461
090939.40,-32701.560286743825,-10117.569736246534,-2.9392299289990387
090939.50,-32701.560301535646,-10117.569736263384,-3.095241498800033
090939.60,-32701.560320024542,-10117.56973779024,-3.050077089704406
090939.70,-32701.56033481495,-10117.569739317489,3.0077372369238584
090939.80,-32701.560342218298,-10117.569734801615,2.5154645795384
090939.90,-32701.560351471242,-10117.569727271639,2.7877017239546196
090940.00,-32701.560362565993,-10117.569727284277,1.8907430922128559
090940.10,-32701.560364458786,-10117.569688073463,1.739436098574597
090940.20,-32701.56037001112,-10117.569683555477,2.8459123557615076
090940.30,-32701.560379256276,-10117.569683566007,3.061345666405771
090940.40,-32701.56038850214,-10117.569682068435,2.9027414271439946
090940.50,-32701.560397750127,-10117.569679062764,2.995510310231454
