042602.30,-32734.183543507297,-10123.24063572713
042602.40,-32734.183597110223,-10123.240652377399,-3.000744838021372
042602.50,-32734.18365073368,-10123.2406509304,-3.114566234335577
042602.60,-32734.18371359592,-10123.240655526357,-3.037250220484445
042602.70,-32734.18376720876,-10123.240663127992,-3.067758233649751
042602.80,-32734.183817133024,-10123.24066318488,-3.0077525837214836
042602.90,-32734.183868892014,-10123.240676819134,-3.0053239695144383
042603.00,-32734.183916966682,-10123.240676873918,-3.0590715718213697
042603.10,-32734.183979823967,-10123.240685994195,-3.003292421211273
042603.20,-32734.18403713529,-10123.24069360004,-2.907511117914229
042603.30,-32734.18408149306,-10123.240710237475,-3.022392932287817
042603.40,-32734.18413881925,-10123.240705778475,3.116865420168942
042603.50,-32734.184197987255,-10123.240707356308,-3.113697605390304
042603.60,-32734.184251607174,-10123.240708925516,-3.1258895359627954
042603.70,-32734.184301531437,-10123.240708982408,3.114100084917775
042603.80,-32734.18435700591,-10123.240706027103,3.111940428782725
042603.90,-32734.184399533908,-10123.240706075565,3.0411571477714134
042604.00,-32734.18444577031,-10123.240697081908,3.005128904359702
042604.10,-32734.18449754771,-10123.240692616584,3.1146148746976445
042604.20,-32734.184553017934,-10123.240694187904,-3.114586004812527
042604.30,-32734.18461403341,-10123.240695763237,-3.127729340351488
042604.40,-32734.184671355357,-10123.240695828557,-3.140453167872022
042604.50,-32734.1847231278,-10123.240695887549,-3.1128122523899258
042604.60,-32734.1847804455,-10123.240698969083,-3.1108032711198224
042604.70,-32734.184824822387,-10123.240699019652,3.0974736043210016
042604.80,-32734.18488029757,-10123.240694560844,-3.125041925542442
042604.90,-32734.184922819903,-10123.24070064173,-2.9946849521892407
042605.00,-32734.184972734958,-10123.240708239151,-3.057698054870394
042605.10,-32734.185031902252,-10123.240709814681,-3.047150004316066
042605.20,-32734.185085514382,-10123.24071892212,-2.993232876076831
042605.30,-32734.185133582676,-10123.240725011628,-2.9074714039593106
042605.40,-32734.185187184892,-10123.240743170005,-2.925363372127811
042605.50,-32734.18523710278,-10123.240747751213,-2.9895444178629846
042605.60,-32734.185296258747,-10123.240759883489,-3.050076883532924
042605.70,-32734.185353581404,-10123.240758440703,-3.0471297989405404
042605.80,-32734.18540903817,-10123.240770568756,-2.9944007382932396
042605.90,-32734.185466353036,-10123.240775160699,-2.9736960031570394
042606.00,-32734.18552550617,-10123.240790309183,-2.9989971784773877
042606.10,-32734.185582825285,-10123.240791882607,-3.0603993606822666
042606.20,-32734.1856382863,-10123.240799486348,-2.8977357596702316
042606.30,-32734.18568634185,-10123.240817638403,-2.8925386983479875
042606.40,-32734.18574549994,-10123.240826754469,-3.062930675971061
042606.50,-32734.18580282047,-10123.240826819787,-3.0777960961903594
042606.60,-32734.18586567988,-10123.240834431954,3.1305779042165756
042606.70,-32734.185926707392,-10123.240825455148,3.1039129074595744
042606.80,-32734.185982174786,-10123.240830040377,-2.9683534736312485
042606.90,-32734.186039476903,-10123.240845189059,-3.0590504419927376
042607.00,-32734.186093106026,-10123.240839217739,3.1012842606092508
042607.10,-32734.18614857625,-10123.240840789056,-2.998327575165513
042607.20,-32734.18619848423,-10123.240854418898,-2.920189750186559
042607.30,-32734.18624285262,-10123.240862010001,-3.1123571984327127
042607.40,-32734.186305724772,-10123.240857555018,3.0780915138227125
042607.50,-32734.186359351774,-10123.240854602212,-3.0967654456298166
042607.60,-32734.186409266833,-10123.240862199631,-3.0801106196664776
042607.70,-32734.18645919322,-10123.240860748414,-3.109117664000528
042607.80,-32734.18650541404,-10123.240865323109,-3.077795431416399
042607.90,-32734.18655533618,-10123.240866890403,-3.0465959182480242
042608.00,-32734.186601553458,-10123.240874483612,-3.0606607441572975
042608.10,-32734.186649628835,-10123.240874538393,-3.0739457670751675
042608.20,-32734.18669215046,-10123.240880621583,-2.99954882865781
042608.30,-32734.186734672083,-10123.240886700165,-3.0905584719322965
042608.40,-32734.186782747456,-10123.240885249144,-3.0606601762510035
042608.50,-32734.18682896403,-10123.240894348151,-2.9663412303220893
042608.60,-32734.18687702949,-10123.240901943467,-3.0264762868054045
042608.70,-32734.186934345063,-10123.240906533105,-3.0223714470897916
042608.80,-32734.186978714162,-10123.240914124202,-2.972740545574709
042608.90,-32734.187032324873,-10123.240923236246,-2.998975235498383
042609.00,-32734.187095184283,-10123.240930848413,-3.0486269230503638
042609.10,-32734.187146953896,-10123.240933923624,3.128168728325977
042609.20,-32734.187198732714,-10123.240929458303,3.1295778635897253
042609.30,-32734.187261596373,-10123.240932546152,-3.0576980576523196
042609.40,-32734.187307815067,-10123.240938631254,-3.0428899078119778
042609.50,-32734.18735403801,-10123.240941700142,-3.013206208760818
042609.60,-32734.187402103475,-10123.24095080356,-3.035094106253742
042609.70,-32734.187453874503,-10123.240952372964,-3.060660741052449
042609.80,-32734.187496396127,-10123.24095845155,-3.031121116647866
042609.90,-32734.187550013212,-10123.240963036971,-3.097552099053306
042610.00,-32734.18760178566,-10123.240963095966,-3.012374691618272
042610.10,-32734.187655391415,-10123.240976730025,-3.022347437261591
042610.20,-32734.187703468913,-10123.240975279008,-3.0789520201752807
042610.30,-32734.187753384682,-10123.240982876427,-2.9958237976531206
042610.40,-32734.187806997517,-10123.24099047806,-2.981593749757951
042610.50,-32734.187856912577,-10123.240999583586,-3.1084795807877903
042610.60,-32734.187901296544,-10123.240993601732,3.0451688680323215
042610.70,-32734.18794937475,-10123.240990640299,3.0965743759747437
042610.80,-32734.187999300433,-10123.240989186783,-3.054807930113151
042610.90,-32734.18805475862,-10123.240999809039,-3.010093210650812
042611.00,-32734.188102831158,-10123.241002880035,-3.007774792586445
042611.10,-32734.188156441873,-10123.241013497882,-3.0106887286743356
042611.20,-32734.188195269966,-10123.241015050233,-3.088439649610346
042611.30,-32734.188243341803,-10123.241018121229,-3.053264909646354
042611.40,-32734.188298805653,-10123.241024219164,-3.030307967108566
042611.50,-32734.188352420613,-10123.24103031039,-3.0650760378066493
042611.60,-32734.188398644976,-10123.241031873475,-3.095971895050697
042611.70,-32734.188454113075,-10123.241034952898,-3.126166814851381
042611.80,-32734.188504038048,-10123.24103349938,-3.06066074103998
042611.90,-32734.188548405727,-10123.241042600888,-3.1404531366060535
042612.00,-32734.188598339908,-10123.241033606839,3.0734294257062564
042612.10,-32734.188635317696,-10123.241036667496,-3.1226975871128624
042612.20,-32734.188683395903,-10123.241035214169,3.127344299163089
042612.30,-32734.188733318042,-10123.241035271058,3.1113719406558684
042612.40,-32734.18877954736,-10123.241032307518,-3.038853303286878
042612.50,-32734.18882206261,-10123.241044420833,-2.9721407999882934
042612.60,-32734.188868284138,-10123.241047489722,-3.035116124892881
042612.70,-32734.188921898392,-10123.241055091356,-3.03109745867774
042612.80,-32734.18896442285,-10123.241058156033,-3.0367062532344944
042612.90,-32734.189008793364,-10123.241064239026,-3.0409120393326496
042613.00,-32734.189055015602,-10123.24106730791,3.0823894205699345
042613.10,-32734.189108648265,-10123.241058320376,3.0713089812132495
042613.20,-32734.189160420003,-10123.24105988748,-3.0636594523998473
042613.30,-32734.189206638697,-10123.241065972583,-2.9471488104864756
042613.40,-32734.18925285102,-10123.241078090106,-2.869620742384296
042613.50,-32734.189293516676,-10123.241090201309,-2.8415361892347035
042613.60,-32734.189336028387,-10123.241103825027,-2.9320455742142086
042613.70,-32734.189393341127,-10123.241111430874,-2.966342503419163
042613.80,-32734.18943031113,-10123.241120519351,-2.893166737766688
042613.90,-32734.1894709782,-10123.24113112475,-3.0636600667803897
042614.00,-32734.189528302268,-10123.241128171552,3.1273442517085654
042614.10,-32734.189568977836,-10123.241129728318,-3.061017954163775
042614.20,-32734.189604106028,-10123.24113429267,-3.0765707405163947
042614.30,-32734.189663272617,-10123.2411358682,-3.0590705374360927
042614.40,-32734.189715036562,-10123.241143467729,-3.015602964520391
042614.50,-32734.1897594092,-10123.241148044915,-2.9351468575229878
042614.60,-32734.18980192162,-10123.24116166403,-2.97877735042121
042614.70,-32734.18986108821,-10123.241164747666,3.115091341583153
042614.80,-32734.189911018846,-10123.241158772133,-3.092512657896271
042614.90,-32734.1899553844,-10123.241169379442,-2.845774972955226
042615.00,-32734.189990499846,-10123.241182994732,-3.028969312566381
042615.10,-32734.19004967281,-10123.241180043644,3.0673554807578167
042615.20,-32734.190090356875,-10123.24117556798,-2.963264954719528
042615.30,-32734.190125468776,-10123.24119370529,-2.8351789806258445
042615.40,-32734.19017168535,-10123.241201298497,-3.0915546758084145
042615.50,-32734.190217914667,-10123.24119833496,-3.1404531473228654
042615.60,-32734.1902659865,-10123.241201405954,-3.0331438872945573
042615.70,-32734.19031590156,-10123.241209003374,-3.0106876968173033
042615.80,-32734.1903584246,-10123.241213576155,-3.02897186260884
042615.90,-32734.190410192088,-10123.241219667572,-2.9848729293553764
042616.00,-32734.190454558357,-10123.241228766781,-2.885773403611693
042616.10,-32734.190497070067,-10123.241242390497,-2.9436344143024358
042616.20,-32734.19053774634,-10123.241245453064,-3.1219469979826897
042616.30,-32734.190578426867,-10123.24124398901,-3.0169960161813663
042616.40,-32734.190622790302,-10123.241256104431,-3.0028053904320258
042616.50,-32734.190676410926,-10123.241257675942,-3.038851611472976
042616.60,-32734.19072632386,-10123.241266779163,-3.0145601544518
042616.70,-32734.190783638725,-10123.241271371104,-3.0500531867711174
042616.80,-32734.19082616177,-10123.241275943885,-2.955672594481143
042616.90,-32734.190872373383,-10123.241288061408,-2.9848729235212836
042617.00,-32734.190922295522,-10123.24129113451,-3.0053230310257817
042617.10,-32734.190972206332,-10123.241301750444,-2.9354722047313007
042617.20,-32734.19101657472,-10123.241310847347,-3.0025082122035642
042617.30,-32734.19105909847,-10123.241313914325,-3.0725634306049137
042617.40,-32734.191105321413,-10123.24131698321,-3.005343381979757
042617.50,-32734.191147837373,-10123.241326080311,-2.9471502654999435
042617.60,-32734.19119775314,-10123.241335185838,-2.957845063756368
042617.70,-32734.191245817186,-10123.24134428926,-2.847068251417663
042617.80,-32734.191297566973,-10123.241365464042,-2.8750001421130182
042617.90,-32734.191340090012,-10123.241370034517,-2.9887246455448246
042618.00,-32734.19138630446,-10123.241379135829,-2.8702240479010697
042618.10,-32734.191438057078,-10123.241397292102,-2.816429583360547
042618.20,-32734.191480570913,-10123.241410915816,-2.8804830728538726
042618.30,-32734.191523086873,-10123.241420012913,-2.8281428999778644
042618.40,-32734.191569291408,-10123.241439673275,-2.7839904267036157
042618.50,-32734.191608107463,-10123.241451782373,-2.675294173102798
042618.60,-32734.191641361984,-10123.241475947692,-2.776762166488354
042618.70,-32734.19169127775,-10123.241483547417,-2.9877393582272833
042618.80,-32734.191739344627,-10123.241491142728,-2.8250697186523444
042618.90,-32734.1917744537,-10123.241510790445,-2.8646953538480884
042619.00,-32734.191829918964,-10123.241516883778,-3.07025734531382
042619.10,-32734.191881689996,-10123.241518453182,-3.0169704219082956
042619.20,-32734.19191496363,-10123.241527537444,-2.8818554314477627
042619.30,-32734.191950084743,-10123.241536628415,-3.021624451463058
042619.40,-32734.191990762432,-10123.241536674768,-2.9198108234590885
042619.50,-32734.192024027572,-10123.241553301865,-2.868348690812435
042619.60,-32734.192061003945,-10123.241556360214,-3.0822603129344976
042619.70,-32734.192101681638,-10123.241557914676,-3.086132556095339
042619.80,-32734.192144206096,-10123.24156097935,-2.9215756026191806
042619.90,-32734.19218301861,-10123.24157610466,-2.8211135369232347
042620.00,-32734.19221259447,-10123.241583678902,-2.9060960430037617
042620.10,-32734.192258809628,-10123.241594290626,-3.057418861382116
