013846.10,-170593.52901389136,47442.225370361484
013846.20,-170593.52900585564,47442.22549588642,1.6016130976057825
013846.30,-170593.52902182293,47442.22562765868,1.7404025666395764
013846.40,-170593.52905073672,47442.22575796342,1.6659653041970912
013846.50,-170593.52904639172,47442.2258850384,1.5731113038050712
013846.60,-170593.52905131454,47442.22600756694,1.6153703044051484
013846.70,-170593.52905800552,47442.22614541686,1.6238113973452222
013846.80,-170593.52906480696,47442.226261830045,1.6188025745323598
013846.90,-170593.52906970572,47442.226388952164,1.615958168262962
013847.00,-170593.52907643563,47442.22651914376,1.5876398484759209
013847.10,-170593.52907396219,47442.22664163458,1.565698822152898
013847.20,-170593.52907508527,47442.22678404746,1.5656958975943451
013847.30,-170593.52907263447,47442.22690194703,1.550881450980083
013847.40,-170593.5290701143,47442.22703362502,1.5656964778320388
013847.50,-170593.52907125224,47442.22717297785,1.4990929523188394
013847.60,-170593.52905021413,47442.22731068401,1.4654217120225366
013847.70,-170593.5290421154,47442.22744846081,1.5123853473484332
013847.80,-170593.52903401104,47442.22758776651,1.5465362691963531
013847.90,-170593.52903509373,47442.2277378377,1.6173015549928411
013848.00,-170593.5290473406,47442.227874184704,1.5866314122163
013848.10,-170593.52903928934,47442.22800277201,1.4691113449271525
013848.20,-170593.52902204177,47442.22812212269,1.4264037778174046
013848.30,-170593.5290048034,47442.22823994451,1.4130961383902376
013848.40,-170593.52898384247,47442.228362338705,1.4091616366583126
013848.50,-170593.52896663314,47442.22847403576,1.4211513432159901
013848.60,-170593.52895131375,47442.22857808624,1.4021441642852546
013848.70,-170593.52893042294,47442.22868669969,1.353915725017307
013848.80,-170593.52890210683,47442.22880140254,1.3337361470292683
013848.90,-170593.52887943084,47442.228897757006,1.3253386195832673
013849.00,-170593.52885115295,47442.2290048039,1.3101345317131479
013849.10,-170593.52882477353,47442.22910267304,1.3899891192155127
013849.20,-170593.52881311867,47442.22921286482,1.4516287543502844
013849.30,-170593.52879967014,47442.22931233116,1.4947958174413647
013849.40,-170593.5287972668,47442.22942103888,1.453258241780934
013849.50,-170593.52877455187,47442.22952504933,1.2846359295966279
013849.60,-170593.52873518277,47442.22963203965,1.2861633765379124
013849.70,-170593.52871058,47442.22974369898,1.2971452947458688
013849.80,-170593.52867681067,47442.22983999687,1.2166292660854456
013849.90,-170593.52863372187,47442.22995155958,1.2588894203199226
013850.00,-170593.52860730846,47442.2300555535,1.3587295842029508
013850.10,-170593.5285882743,47442.23016264518,1.314753838371241
013850.20,-170593.52854885918,47442.23027882267,1.3697829063596976
013850.30,-170593.52854276585,47442.230385982686,1.5062519135580212
013850.40,-170593.52853480945,47442.230496195676,1.4306028917762865
013850.50,-170593.52851015926,47442.23061703982,1.369581080857495
013850.60,-170593.52848551047,47442.230737886326,1.411159639247488
013850.70,-170593.52847197556,47442.23085419579,1.398252902642166
013850.80,-170593.5284455161,47442.23096737455,1.3917272771618263
013850.90,-170593.52842822252,47442.23109591472,1.439674689799967
013851.00,-170593.52841282313,47442.231215277156,1.9741459365790939
013851.10,-170593.5284629329,47442.23117725185,1.9289165761235756
013851.20,-170593.52844382936,47442.2312981243,1.9131946092159802
013851.30,-170593.5284957399,47442.231269293225,1.8374123492838443
013851.40,-170593.52847105145,47442.23139779572,1.8128231823886742
013851.50,-170593.52852109965,47442.23137201996,-2.680294650303417
013851.60,-170593.52856557848,47442.2313508095,-2.760991514707104
013851.70,-170593.52861557712,47442.23133421859,-2.773474662340176
013851.80,-170593.5286674579,47442.23131151465,-2.795530778986968
013851.90,-170593.5287118886,47442.23129949137,-2.871868425991324
013852.00,-170593.52875447183,47442.23128745867,1.7902590171554995
013852.10,-170593.52873719312,47442.23141293645,1.748089659939783
013852.20,-170593.52877424454,47442.23139781307,-2.6752841815846904
013852.30,-170593.52880947824,47442.23137655314,-2.5577786734285324
013852.40,-170593.5288317499,47442.23135982312,-2.742721309519943
013852.50,-170593.5288669135,47442.23135234629,-2.7433958728780783
013852.60,-170593.52889288857,47442.231334103955,-2.4924283691756073
013852.70,-170593.52891702327,47442.23131431865,-2.6231271405334047
013852.80,-170593.52895407542,47442.231299195264,-2.682396565506162
013852.90,-170593.52899671954,47442.23127491299,-2.5552783820858487
013853.00,-170593.52902271022,47442.23125360592,-2.4776555422095896
013853.10,-170593.52903755373,47442.23124296298,1.6597488330302377
013853.20,-170593.52903145473,47442.231351651855,1.8278315719855533
013853.30,-170593.52905931766,47442.231325762965,-2.850514715819434
013853.40,-170593.5290666339,47442.23134111263,-2.9972748335316393
013853.50,-170593.52910001873,47442.23131984795,-2.693328065520756
013853.60,-170593.52912964555,47442.231310809286,2.6189237048856837
013853.70,-170593.52912951243,47442.231336839606,1.7708920076865704
013853.80,-170593.52913866128,47442.231355263415,2.1344114205607703
013853.90,-170593.5291460186,47442.2313629571,-2.8056319152191627
013854.00,-170593.5291516269,47442.23135073584,2.694441139847387
013854.10,-170593.52915892826,47442.23136914788,3.0333268006714333
013854.20,-170593.52918118998,47442.23135394908,-2.741926682555086
013854.30,-170593.52921265582,47442.23134645338,-2.704611213810786
