073805.20,-36465.00461628502,6476.372668618871
073805.30,-36465.004065719586,6476.374594939713,1.2901096979627062
073805.40,-36465.00357820405,6476.376269342468,1.2853439306075334
073805.50,-36465.003164854395,6476.377664673315,1.2822964949858717
073805.60,-36465.002825651514,6476.378805069774,1.2760893631936592
073805.70,-36465.00254579296,6476.379704104313,1.2660721712805805
073805.80,-36465.002330814066,6476.38037837939,1.277498218114167
073805.90,-36465.00222142934,6476.38077812706,1.283759543076457
073806.00,-36465.00217140382,6476.380918407959,1.1143027941536094
073806.10,-36465.002191801796,6476.380838457344,-1.821118446358909
073806.20,-36465.00226782932,6476.380541281936,-1.858567650542037
073806.30,-36465.00243647622,6476.380011818963,-1.8646434597662422
073806.40,-36465.00266632837,6476.379224396993,-1.858872474826653
073806.50,-36465.002966601896,6476.378222780776,-1.854290281364616
073806.60,-36465.0033299409,6476.376946610789,-1.8601992671494694
073806.70,-36465.003785877314,6476.375471343178,-1.8576219553029565
073806.80,-36465.00426786602,6476.373766761621,-1.8512825150711185
073806.90,-36465.00481839675,6476.371887211656,-1.8520105080870053
073807.00,-36465.005413456616,6476.369800987676,-1.8550947009277456
073807.10,-36465.006091854586,6476.367529247193,-1.8586013763253302
073807.20,-36465.006812917934,6476.3650734601115,-1.8569295611551053
073807.30,-36465.00757104192,6476.362501529431,-1.8514375884175571
073807.40,-36465.00835520756,6476.359722908966,-1.846377008802016
073807.50,-36465.00918941501,6476.356778359057,-1.8483352277487395
073807.60,-36465.01007550608,6476.353684477169,-1.8480015223161135
073807.70,-36465.01100797021,6476.350386942389,-1.8488164402220015
073807.80,-36465.01199785401,6476.346949132097,-1.8522346181904659
073807.90,-36465.01302850331,6476.343398191461,-1.8557764776838568
073808.00,-36465.01412212461,6476.339697924621,-1.8563333263482766
073808.10,-36465.015241736575,6476.335858872724,-1.8540717728755696
073808.20,-36465.01638360036,6476.3319293057875,-1.8535078959000182
073808.30,-36465.01756068723,6476.327876045609,-1.8525563783610128
073808.40,-36465.018763744236,6476.323706626835,-1.8513146729331376
073808.50,-36465.02000017896,6476.31940898726,-1.8490737386973377
073808.60,-36465.02124777855,6476.315011774437,-1.8508014039245975
073808.70,-36465.022549049754,6476.310545194096,-1.8523186180584812
073808.80,-36465.023867053715,6476.305954907052,-1.850234422119666
073808.90,-36465.02520545495,6476.301287686868,-1.8534896599831885
073809.00,-36465.026601231235,6476.296542049428,-1.8547616362246109
073809.10,-36465.02800632774,6476.291690807058,-1.8513403790835397
073809.20,-36465.02942258697,6476.286750552611,-1.8512791450305668
073809.30,-36465.030887003726,6476.281691138251,-1.852085665003456
073809.40,-36465.03236255843,6476.276575908659,-1.8496004053465378
073809.50,-36465.033867829894,6476.2712781340815,-1.8470365330598932
073809.60,-36465.03535643516,6476.266015050672,-1.8477597591896315
073809.70,-36465.03686910007,6476.2607203012585,-1.848743031969934
073809.80,-36465.03839475111,6476.255366718179,-1.8486658346402158
073809.90,-36465.039937078254,6476.249964865295,-1.849040285354851
073810.00,-36465.041494230514,6476.244516252297,-1.8501319446182487
073810.10,-36465.043073601315,6476.239029932397,-1.8529920410619092
073810.20,-36465.04468998885,6476.233493853366,-1.8522724025416517
073810.30,-36465.046293477346,6476.227894393302,-1.8512087503833496
073810.40,-36465.04792657924,6476.222255727588,-1.8504005050718866
073810.50,-36465.0495449233,6476.2165702779175,-1.8503093213949333
073810.60,-36465.05118730008,6476.2108954046125,-1.8523340281519733
073810.70,-36465.052837093666,6476.205187346752,-1.851921532819284
073810.80,-36465.05449616286,6476.199437050957,-1.8522545881728376
