X_cor,Y_cor,Amplitude,UnixTime,Xrange,Yrange,Velocity[m/s]
-32731.585648589327,-10158.475820067824,98.4,1721193686.825,-3.9921875,8.90625,0.0
-32731.58584322812,-10158.476286170728,98.6,1721193688.025,-3.9921875,8.90625,0.0
-32731.585953222017,-10158.476057057129,98.4,1721193689.45,-3.9921875,8.90625,0.0
-32731.5848490133,-10158.475262217498,98.4,1721193689.675,-3.9921875,8.90625,0.0
-32731.586838497376,-10158.476458708064,98.3,1721193689.975,-3.9921875,8.90625,0.0
-32731.5871659193,-10158.476464276157,98.4,1721193690.65,-3.9921875,8.90625,0.0
-32731.586292680764,-10158.475851528528,98.4,1721193690.8,-3.9921875,8.90625,0.0
-32731.59627577516,-10158.466615141191,98.5,1721193687.65,-4.0,8.8984375,0.0
-32731.60299059085,-10158.463565217036,98.5,1721193689.525,-4.0078125,8.8984375,0.0
-32731.595074367702,-10158.465669275478,98.5,1721193689.6,-4.0,8.8984375,0.0
-32731.602130800155,-10158.462968331278,98.5,1721193689.75,-4.0078125,8.8984375,0.0
-32731.603682877656,-10158.46391842872,98.5,1721193689.9,-4.0078125,8.8984375,0.0
-32731.59635284821,-10158.466150289936,98.4,1721193690.575,-4.0,8.8984375,0.0
-32731.603366654606,-10158.440270167055,98.3,1721193691.25,-4.0234375,8.890625,0.0
-32731.59064097748,-10158.432232432768,98.1,1721193691.325,-4.0234375,8.890625,0.0
-32731.57791852985,-10158.478099884407,98.5,1721193686.682,-3.984375,8.90625,0.0
-32731.57791852985,-10158.478099884407,98.6,1721193686.75,-3.984375,8.90625,0.0
-32731.56786743112,-10158.487773266495,98.6,1721193686.9,-3.9765625,8.9140625,0.0
-32731.543571631377,-10158.502730053344,98.4,1721193686.975,-3.953125,8.921875,0.0
-32731.553486689325,-10158.492938512809,98.4,1721193687.05,-3.9609375,8.9140625,0.0
-32731.55105267975,-10158.500362174547,98.5,1721193687.125,-3.9609375,8.921875,0.0
-32731.5616912766,-10158.491032587772,98.3,1721193687.2,-3.96875,8.9140625,0.0
-32731.578841455903,-10158.478689387885,98.5,1721193687.275,-3.984375,8.90625,0.0
-32731.55170295597,-10158.500837576712,98.5,1721193687.35,-3.9609375,8.921875,0.0
-32731.57846077648,-10158.478472003486,98.4,1721193687.425,-3.984375,8.90625,0.0
-32731.578787511186,-10158.478701362084,98.3,1721193687.5,-3.984375,8.90625,0.0
-32731.57852424532,-10158.478574640065,98.3,1721193687.575,-3.984375,8.90625,0.0
-32731.57899463663,-10158.478905877431,98.3,1721193687.725,-3.984375,8.90625,0.0
-32731.569029745577,-10158.488733172551,98.4,1721193687.8,-3.9765625,8.9140625,0.0
-32731.56910159436,-10158.488844142768,98.4,1721193687.875,-3.9765625,8.9140625,0.0
-32731.57153510379,-10158.481420317064,98.6,1721193687.95,-3.9765625,8.90625,0.0
-32731.5612827018,-10158.49117926316,98.4,1721193688.115,-3.96875,8.9140625,0.0
-32731.56181314166,-10158.491481308363,98.4,1721193688.175,-3.96875,8.9140625,0.0
-32731.569236970336,-10158.489047807998,98.5,1721193688.25,-3.9765625,8.9140625,0.0
-32731.56937205582,-10158.489110842844,98.3,1721193688.325,-3.9765625,8.9140625,0.0
-32731.554602707296,-10158.49400187852,98.4,1721193688.415,-3.9609375,8.9140625,0.0
-32731.55406384743,-10158.493663423964,98.4,1721193688.475,-3.9609375,8.9140625,0.0
-32731.550881123,-10158.500583257575,98.4,1721193688.55,-3.9609375,8.921875,0.0
-32731.560739093868,-10158.490725286709,98.5,1721193688.625,-3.96875,8.9140625,0.0
-32731.5783615381,-10158.47861709627,98.4,1721193688.7,-3.984375,8.90625,0.0
-32731.544178158307,-10158.503401125352,98.3,1721193688.775,-3.953125,8.921875,0.0
-32731.53675448467,-10158.505835098644,98.3,1721193688.85,-3.9453125,8.921875,0.0
-32731.536757377376,-10158.505815544671,98.4,1721193688.925,-3.9453125,8.921875,0.0
-32731.5619772368,-10158.49137797134,98.4,1721193689.0,-3.96875,8.9140625,0.0
-32731.579092249107,-10158.478952939278,98.5,1721193689.075,-3.984375,8.90625,0.0
-32731.56118333603,-10158.4908039938,98.5,1721193689.15,-3.96875,8.9140625,0.0
-32731.55132544527,-10158.50066188456,98.6,1721193689.225,-3.9609375,8.921875,0.0
