X_cor,Y_cor,Amplitude,UnixTime,Xrange,Yrange,Velocity[m/s]
-32725.798656644503,-10149.19651555641,85.0,1721193695.706,0.046875,4.8125,-0.3203125
-32725.795212454992,-10149.170159407724,98.0,1721193700.581,1.0859375,3.671875,0.0
-32725.60687884956,-10149.452184904974,86.3,1721193690.756,-0.4453125,5.59375,0.0
-32725.60931350825,-10149.444761456092,84.2,1721193690.831,-0.4375,5.59375,0.0
-32725.614788036964,-10149.428157224114,84.6,1721193690.981,-0.421875,5.59375,0.0
-32725.618672022087,-10149.333941183091,100.0,1721193700.656,0.890625,3.7265625,0.0
-32725.60818925748,-10149.354903722357,99.3,1721193700.731,0.8671875,3.7265625,0.0
-32725.543206240724,-10149.80929238494,89.0,1721193698.031,-0.0390625,4.2265625,-0.3203125
-32725.488893625105,-10150.10877298179,91.7,1721193693.981,-1.2734375,5.0546875,-0.3203125
-32725.483269721328,-10150.133700298626,92.8,1721193694.881,-1.1015625,4.890625,-0.3203125
-32725.49943509353,-10150.12297582531,88.1,1721193702.306,0.3984375,3.015625,0.0
-32725.4587594135,-10150.554029253686,87.9,1721193690.306,-1.5390625,5.390625,0.0
-32725.456225633377,-10150.512203816825,88.4,1721193690.531,-1.5,5.40625,0.0
-32725.444777306995,-10150.35445651282,84.4,1721193699.981,-0.2109375,3.625,-0.3203125
-32725.442902938827,-10149.855235449326,89.4,1721193696.756,-0.4296875,4.59375,-0.3203125
-32725.46949005599,-10149.82306684893,90.9,1721193699.081,0.15625,4.0234375,-0.3203125
-32725.42918315721,-10149.823906808875,86.6,1721193699.307,0.1640625,4.0234375,-0.3203125
-32725.38090134588,-10150.004447611234,94.8,1721193694.506,-1.09375,5.09375,-0.3203125
-32725.40876969185,-10149.981242701157,93.1,1721193695.406,-0.9140625,4.9296875,-0.3203125
-32725.389866875583,-10149.99731773699,99.7,1721193698.331,-0.1953125,4.21875,-0.3203125
-32725.38799700538,-10149.951573373415,89.8,1721193692.406,-1.171875,5.484375,0.0
-32725.38282342022,-10149.93441021486,96.4,1721193697.596,-0.296875,4.4140625,-0.3203125
