X_cor,Y_cor,Amplitude,UnixTime,Xrange,Yrange,Velocity[m/s]
-32719.998080451904,-10145.984385818396,97.2,1725699658.166,-4.0625,10.8046875,0.0
-32726.78605021006,-10146.536252738308,99.4,1725699658.166,-1.28125,2.96875,0.0
-32725.51356169848,-10147.760133059965,95.9,1725699658.166,-0.3046875,4.015625,0.0
-32719.043921238823,-10150.20609557616,109.5,1725699658.166,0.3984375,10.5390625,0.0
-32719.046040028683,-10150.198575876311,109.5,1725699658.222,0.390625,10.5390625,0.0
-32725.467823615538,-10148.88065223116,86.4,1725699658.222,0.9453125,3.7109375,0.0
-32725.887471712085,-10148.423197764676,92.0,1725699658.222,0.5625,3.3828125,0.0
-32720.007718941608,-10145.974747328692,97.1,1725699658.222,-4.0703125,10.796875,0.0
-32725.51144290862,-10147.767652759812,95.8,1725699658.222,-0.296875,4.015625,0.0
-32726.902543569307,-10146.614192138744,99.9,1725699658.222,-1.15625,2.8125,0.0
-32726.916419638725,-10146.589514249345,100.3,1725699658.297,-1.1796875,2.8046875,0.0
-32719.98208559263,-10146.01658340764,97.3,1725699658.297,-4.03125,10.8125,0.0
-32725.52743776789,-10147.735455170568,96.2,1725699658.297,-0.328125,4.0078125,0.0
-32719.05239639825,-10150.176016776772,109.4,1725699658.297,0.3671875,10.5390625,0.0
-32719.05451518811,-10150.168497076924,109.2,1725699658.386,0.359375,10.5390625,0.0
-32726.734783512107,-10146.619924896206,98.0,1725699658.386,-1.203125,3.0,0.0
-32719.99384287219,-10145.999425218091,97.3,1725699658.386,-4.046875,10.8046875,0.0
-32725.531675347607,-10147.720415770871,96.0,1725699658.386,-0.34375,4.0078125,0.0
-32726.734783512107,-10146.619924896206,97.9,1725699658.447,-1.203125,3.0,0.0
-32719.05239639825,-10150.176016776772,109.1,1725699658.447,0.3671875,10.5390625,0.0
-32718.78887878437,-10151.676342778646,101.9,1725699658.447,1.9765625,10.359375,0.0
-32726.0693157094,-10148.441187437033,88.4,1725699658.447,0.640625,3.171875,0.0
-32725.47089786497,-10148.84517252178,88.9,1725699658.447,0.90625,3.71875,0.0
-32719.998080451904,-10145.984385818396,97.2,1725699658.447,-4.0625,10.8046875,0.0
-32725.531675347607,-10147.720415770871,96.4,1725699658.447,-0.34375,4.0078125,0.0
-32719.05239639825,-10150.176016776772,109.0,1725699658.522,0.3671875,10.5390625,0.0
-32726.07238995884,-10148.405707727652,89.2,1725699658.522,0.6015625,3.1796875,0.0
-32720.00560015175,-10145.98226702854,97.2,1725699658.522,-4.0625,10.796875,0.0
-32726.725145022403,-10146.62956338591,97.9,1725699658.522,-1.1953125,3.0078125,0.0
