X_cor,Y_cor,Amplitude,UnixTime,Xrange,Yrange,Velocity[m/s]
-10170.680117946917,-32783.70082356679,111.3,1725700577.532,0.3359375,2.8125,0.0
-10170.860783598077,-32783.64935434041,111.1,1725700577.646,0.2890625,2.8203125,0.0
-10171.542665654564,-32783.019149260246,91.9,1725700577.646,-0.4375,3.3984375,0.0
-10172.713178709062,-32789.616102596905,111.4,1725700577.721,0.2890625,2.8203125,0.0
-10172.583823843546,-32789.67198477795,111.4,1725700577.811,0.3125,2.8203125,0.0
-10171.762385918595,-32783.59114219533,111.4,1725700577.885,0.3359375,2.8125,0.0
-10171.416148454196,-32783.576313839265,110.6,1725700577.961,0.328125,2.8203125,0.0
-10171.416148454196,-32783.576313839265,110.5,1725700578.021,0.328125,2.8203125,0.0
-10170.83374914481,-32783.65304324835,111.7,1725700578.096,0.328125,2.8203125,0.0
-10170.920717306655,-32783.63465569085,110.6,1725700578.186,0.28125,2.8203125,0.0
-10172.48554853063,-32789.696883490185,111.4,1725700578.261,0.34375,2.8125,0.0
-10172.367240457712,-32790.33830241642,86.4,1725700578.261,0.1328125,3.4296875,0.0
-10172.463507315972,-32789.708043078834,111.0,1725700578.336,0.3203125,2.8203125,0.0
-10172.398120646443,-32789.732331519874,111.7,1725700578.41,0.3203125,2.8203125,0.0
-10172.368851822444,-32789.74093586927,111.3,1725700578.471,0.34375,2.8125,0.0
-10172.41036274892,-32789.73697385141,110.6,1725700578.657,0.296875,2.8203125,0.0
-10172.41036274892,-32789.73697385141,112.4,1725700578.711,0.296875,2.8203125,0.0
-10172.515562794424,-32790.313953633784,89.6,1725700578.786,-0.015625,3.4296875,0.0
-10172.677906277797,-32789.64864262829,110.6,1725700578.786,0.296875,2.8203125,0.0
-10170.988830263534,-32783.63850835687,110.4,1725700578.86,0.3125,2.8203125,0.0
-10170.95774714105,-32783.64696040708,111.0,1725700578.935,0.34375,2.8125,0.0
-10172.764348539496,-32789.60985519024,111.0,1725700578.996,0.34375,2.8125,0.0
-10173.732575433154,-32788.956388605344,111.0,1725700579.071,0.3046875,2.8203125,0.0
-10170.812431858552,-32783.6725997428,110.3,1725700579.221,0.328125,2.8203125,0.0
-10171.30720793483,-32782.829749323304,87.3,1725700579.221,-0.2265625,3.625,0.0
-10170.761943175596,-32783.6782494217,111.0,1725700579.296,0.328125,2.8203125,0.0
-10170.575218754162,-32783.105564507285,99.9,1725700579.385,0.671875,3.3671875,0.0
-10170.921982602262,-32783.6487947273,109.7,1725700579.385,0.34375,2.8125,0.0
-10170.937333416445,-32783.64045636504,111.0,1725700579.446,0.328125,2.8203125,0.0
-10170.992223215104,-32783.630085362,110.1,1725700579.536,0.3046875,2.8203125,0.0
-10170.81552547709,-32783.66299130082,110.9,1725700579.596,0.328125,2.8203125,0.0
-10171.368103144094,-32783.58102285726,110.5,1725700579.686,0.359375,2.8125,0.0
-10171.383631296543,-32783.58275983928,111.1,1725700579.746,0.34375,2.8125,0.0
-10171.824206282485,-32782.80661393106,86.5,1725700579.746,-0.0078125,3.6328125,0.0
-10172.437962424076,-32789.720120080536,111.0,1725700579.821,0.28125,2.8203125,0.0
-10173.052224912784,-32789.467497263584,109.9,1725700579.896,0.3203125,2.8203125,0.0
-10172.341168048804,-32789.7550743577,109.9,1725700579.971,0.3203125,2.8203125,0.0
-10172.317869935008,-32789.75762667033,110.9,1725700580.046,0.296875,2.8203125,0.0
-10171.004100323817,-32790.75034829552,87.4,1725700580.046,-1.1171875,3.6640625,0.0
