X_cor,Y_cor,Amplitude,UnixTime,Xrange,Yrange,Velocity[m/s]
-32727.714206490124,-10140.88485931448,95.7,1725699644.02,-0.484375,5.78125,0.0
-32728.207217103427,-10143.70042528362,101.4,1725699644.02,-0.7734375,2.9375,0.0
-32729.98576827141,-10144.481730207122,103.6,1725699644.02,0.7265625,1.703125,0.0
-32726.058643940712,-10134.346626179467,80.4,1725699644.02,-0.3046875,12.5234375,0.0
-32729.97824857156,-10144.48384899698,103.2,1725699644.084,0.71875,1.703125,0.0
-32727.721726189968,-10140.882740524625,95.7,1725699644.084,-0.4765625,5.78125,0.0
-32728.207217103427,-10143.70042528362,101.5,1725699644.084,-0.7734375,2.9375,0.0
-32726.046055178347,-10134.561207484205,80.4,1725699644.084,-0.375,12.3203125,0.0
-32727.70668679028,-10140.886978104338,95.8,1725699644.159,-0.4921875,5.78125,0.0
-32729.56671116062,-10140.517105256238,90.9,1725699644.159,1.3984375,5.6328125,0.0
-32728.207217103427,-10143.70042528362,101.5,1725699644.159,-0.7734375,2.9375,0.0
-32729.951451892302,-10144.475165966853,103.1,1725699644.159,0.6953125,1.71875,0.0
-32728.207217103427,-10143.70042528362,101.3,1725699644.234,-0.7734375,2.9375,0.0
-32727.70668679028,-10140.886978104338,95.7,1725699644.234,-0.4921875,5.78125,0.0
-32729.976129781702,-10144.476329297133,102.6,1725699644.234,0.71875,1.7109375,0.0
-32728.207217103427,-10143.70042528362,101.5,1725699644.309,-0.7734375,2.9375,0.0
-32727.721726189968,-10140.882740524625,95.8,1725699644.309,-0.4765625,5.78125,0.0
-32729.574230860468,-10140.514986466382,90.6,1725699644.309,1.40625,5.6328125,0.0
-32729.953570682163,-10144.4826856667,102.6,1725699644.309,0.6953125,1.7109375,0.0
-32724.61723204165,-10133.811228584302,90.7,1725699644.399,-1.546875,13.4296875,0.0
-32728.207217103427,-10143.70042528362,101.4,1725699644.399,-0.7734375,2.9375,0.0
-32727.714206490124,-10140.88485931448,95.8,1725699644.399,-0.484375,5.78125,0.0
-32729.993287971258,-10144.479611417266,102.9,1725699644.399,0.734375,1.703125,0.0
-32728.207217103427,-10143.70042528362,101.4,1725699644.459,-0.7734375,2.9375,0.0
-32729.97824857156,-10144.48384899698,102.5,1725699644.459,0.71875,1.703125,0.0
-32724.65483054089,-10133.80063463502,90.5,1725699644.459,-1.5078125,13.4296875,0.0
-32727.714206490124,-10140.88485931448,95.7,1725699644.459,-0.484375,5.78125,0.0
-32724.675270850577,-10133.786758565604,90.1,1725699644.534,-1.484375,13.4375,0.0
-32728.19969740358,-10143.702544073478,101.5,1725699644.534,-0.78125,2.9375,0.0
-32729.951451892302,-10144.475165966853,102.4,1725699644.534,0.6953125,1.71875,0.0
-32729.55919146077,-10140.519224046093,90.7,1725699644.534,1.390625,5.6328125,0.0
-32727.70668679028,-10140.886978104338,95.7,1725699644.534,-0.4921875,5.78125,0.0
-32729.97824857156,-10144.48384899698,102.3,1725699644.609,0.71875,1.703125,0.0
-32724.682790550425,-10133.784639775748,89.8,1725699644.609,-1.4765625,13.4375,0.0
-32728.207217103427,-10143.70042528362,101.4,1725699644.609,-0.7734375,2.9375,0.0
-32727.721726189968,-10140.882740524625,95.8,1725699644.609,-0.4765625,5.78125,0.0
-32724.66235024074,-10133.798515845165,90.2,1725699644.684,-1.5,13.4296875,0.0
-32727.714206490124,-10140.88485931448,95.7,1725699644.684,-0.484375,5.78125,0.0
-32728.207217103427,-10143.70042528362,101.4,1725699644.684,-0.7734375,2.9375,0.0
-32729.96109038201,-10144.480566876844,102.5,1725699644.684,0.703125,1.7109375,0.0
-32729.55919146077,-10140.519224046093,91.0,1725699644.684,1.390625,5.6328125,0.0
-32729.995406761114,-10144.487131117114,102.8,1725699644.759,0.734375,1.6953125,0.0
-32728.207217103427,-10143.70042528362,101.4,1725699644.759,-0.7734375,2.9375,0.0
-32727.714206490124,-10140.88485931448,95.7,1725699644.759,-0.484375,5.78125,0.0
-32726.1037621398,-10134.333913440329,80.5,1725699644.759,-0.2578125,12.5234375,0.0
-32724.61723204165,-10133.811228584302,90.7,1725699644.759,-1.546875,13.4296875,0.0
-32728.19969740358,-10143.702544073478,101.3,1725699644.834,-0.78125,2.9375,0.0
-32727.721726189968,-10140.882740524625,95.8,1725699644.834,-0.4765625,5.78125,0.0
-32729.96109038201,-10144.480566876844,102.9,1725699644.834,0.703125,1.7109375,0.0
-32724.59679173197,-10133.82510465372,90.9,1725699644.834,-1.5703125,13.421875,0.0
-32729.93429370276,-10144.471883846718,103.0,1725699644.909,0.6796875,1.7265625,0.0
-32724.566712932578,-10133.833579813145,90.9,1725699644.909,-1.6015625,13.421875,0.0
-32727.714206490124,-10140.88485931448,95.8,1725699644.909,-0.484375,5.78125,0.0
-32728.19969740358,-10143.702544073478,101.4,1725699644.909,-0.78125,2.9375,0.0
-32729.55919146077,-10140.519224046093,90.9,1725699644.909,1.390625,5.6328125,0.0
-32729.97824857156,-10144.48384899698,102.7,1725699644.984,0.71875,1.703125,0.0
-32727.714206490124,-10140.88485931448,95.7,1725699644.984,-0.484375,5.78125,0.0
-32728.207217103427,-10143.70042528362,101.4,1725699644.984,-0.7734375,2.9375,0.0
-32726.20903793766,-10134.304250382342,80.7,1725699644.984,-0.1484375,12.5234375,0.0
-32729.96861008185,-10144.478448086988,102.8,1725699645.059,0.7109375,1.7109375,0.0
-32727.714206490124,-10140.88485931448,95.8,1725699645.059,-0.484375,5.78125,0.0
-32726.21655763751,-10134.302131592489,81.3,1725699645.059,-0.140625,12.5234375,0.0
-32728.19969740358,-10143.702544073478,101.5,1725699645.059,-0.78125,2.9375,0.0
-32727.714206490124,-10140.88485931448,95.9,1725699645.134,-0.484375,5.78125,0.0
-32724.566712932578,-10133.833579813145,90.3,1725699645.134,-1.6015625,13.421875,0.0
-32728.207217103427,-10143.70042528362,101.4,1725699645.134,-0.7734375,2.9375,0.0
-32729.995406761114,-10144.487131117114,102.6,1725699645.134,0.734375,1.6953125,0.0
-32726.171439438425,-10134.314844331624,81.3,1725699645.134,-0.1875,12.5234375,0.0
-32728.207217103427,-10143.70042528362,101.4,1725699645.209,-0.7734375,2.9375,0.0
-32727.714206490124,-10140.88485931448,95.7,1725699645.209,-0.484375,5.78125,0.0
-32729.98576827141,-10144.481730207122,102.6,1725699645.209,0.7265625,1.703125,0.0
-32729.55919146077,-10140.519224046093,91.0,1725699645.209,1.390625,5.6328125,0.0
-32724.604311431816,-10133.822985863862,90.7,1725699645.284,-1.5625,13.421875,0.0
-32729.574230860468,-10140.514986466382,91.0,1725699645.284,1.40625,5.6328125,0.0
-32728.207217103427,-10143.70042528362,101.5,1725699645.284,-0.7734375,2.9375,0.0
-32727.721726189968,-10140.882740524625,95.6,1725699645.284,-0.4765625,5.78125,0.0
-32729.96109038201,-10144.480566876844,102.8,1725699645.284,0.703125,1.7109375,0.0
-32726.1037621398,-10134.333913440329,80.4,1725699645.284,-0.2578125,12.5234375,0.0
-32727.721726189968,-10140.882740524625,95.6,1725699645.359,-0.4765625,5.78125,0.0
-32728.19969740358,-10143.702544073478,101.4,1725699645.359,-0.78125,2.9375,0.0
-32724.609712341804,-10133.813347374158,90.3,1725699645.359,-1.5546875,13.4296875,0.0
-32726.05324303072,-10134.35626466917,81.0,1725699645.359,-0.3125,12.515625,0.0
-32730.01044616081,-10144.4828935374,103.1,1725699645.359,0.75,1.6953125,0.0
-32729.97824857156,-10144.48384899698,103.1,1725699645.434,0.71875,1.703125,0.0
-32724.55167353288,-10133.837817392856,90.3,1725699645.434,-1.6171875,13.421875,0.0
-32728.19969740358,-10143.702544073478,101.5,1725699645.434,-0.78125,2.9375,0.0
-32727.714206490124,-10140.88485931448,95.7,1725699645.434,-0.484375,5.78125,0.0
-32728.207217103427,-10143.70042528362,101.5,1725699645.509,-0.7734375,2.9375,0.0
-32724.574232632425,-10133.831461023286,90.4,1725699645.509,-1.59375,13.421875,0.0
-32729.96861008185,-10144.478448086988,103.1,1725699645.509,0.7109375,1.7109375,0.0
-32727.714206490124,-10140.88485931448,95.7,1725699645.509,-0.484375,5.78125,0.0
-32729.56671116062,-10140.517105256238,90.6,1725699645.584,1.3984375,5.6328125,0.0
-32727.714206490124,-10140.88485931448,95.7,1725699645.584,-0.484375,5.78125,0.0
-32729.96109038201,-10144.480566876844,103.3,1725699645.584,0.703125,1.7109375,0.0
-32724.566712932578,-10133.833579813145,89.8,1725699645.584,-1.6015625,13.421875,0.0
-32728.207217103427,-10143.70042528362,101.4,1725699645.584,-0.7734375,2.9375,0.0
-32729.94393219246,-10144.47728475671,103.6,1725699645.659,0.6875,1.71875,0.0
-32727.70668679028,-10140.886978104338,95.7,1725699645.659,-0.4921875,5.78125,0.0
-32728.207217103427,-10143.70042528362,101.5,1725699645.659,-0.7734375,2.9375,0.0
-32729.56671116062,-10140.517105256238,90.7,1725699645.659,1.3984375,5.6328125,0.0
-32724.58927203212,-10133.827223443575,90.0,1725699645.659,-1.578125,13.421875,0.0
-32727.714206490124,-10140.88485931448,95.7,1725699645.734,-0.484375,5.78125,0.0
-32729.951451892302,-10144.475165966853,103.7,1725699645.734,0.6953125,1.71875,0.0
-32728.207217103427,-10143.70042528362,101.5,1725699645.734,-0.7734375,2.9375,0.0
-32724.604311431816,-10133.822985863862,89.8,1725699645.734,-1.5625,13.421875,0.0
-32729.574230860468,-10140.514986466382,90.7,1725699645.734,1.40625,5.6328125,0.0
-32727.721726189968,-10140.882740524625,95.7,1725699645.809,-0.4765625,5.78125,0.0
-32724.5312332232,-10133.851693462271,89.9,1725699645.809,-1.640625,13.4140625,0.0
-32729.56671116062,-10140.517105256238,90.9,1725699645.809,1.3984375,5.6328125,0.0
-32729.97824857156,-10144.48384899698,103.4,1725699645.809,0.71875,1.703125,0.0
-32728.207217103427,-10143.70042528362,101.4,1725699645.809,-0.7734375,2.9375,0.0
-32727.72712709996,-10140.87310203492,95.8,1725699645.884,-0.46875,5.7890625,0.0
-32729.97824857156,-10144.48384899698,103.1,1725699645.884,0.71875,1.703125,0.0
-32728.207217103427,-10143.70042528362,101.3,1725699645.884,-0.7734375,2.9375,0.0
-32729.56671116062,-10140.517105256238,91.0,1725699645.884,1.3984375,5.6328125,0.0
-32724.52371352335,-10133.853812252128,90.0,1725699645.884,-1.6484375,13.4140625,0.0
-32727.72712709996,-10140.87310203492,95.7,1725699645.959,-0.46875,5.7890625,0.0
-32728.207217103427,-10143.70042528362,101.3,1725699645.959,-0.7734375,2.9375,0.0
-32729.94393219246,-10144.47728475671,102.8,1725699645.959,0.6875,1.71875,0.0
-32724.54627262289,-10133.84745588256,90.2,1725699645.959,-1.625,13.4140625,0.0
-32729.90961581336,-10144.47072051644,102.8,1725699646.034,0.65625,1.734375,0.0
-32728.19969740358,-10143.702544073478,101.5,1725699646.034,-0.78125,2.9375,0.0
-32727.72712709996,-10140.87310203492,95.5,1725699646.034,-0.46875,5.7890625,0.0
-32724.58927203212,-10133.827223443575,90.3,1725699646.034,-1.578125,13.421875,0.0
-32724.501154423808,-10133.860168621695,90.0,1725699646.109,-1.671875,13.4140625,0.0
-32727.71960740011,-10140.875220824775,95.5,1725699646.109,-0.4765625,5.7890625,0.0
-32729.97824857156,-10144.48384899698,102.8,1725699646.109,0.71875,1.703125,0.0
-32728.207217103427,-10143.70042528362,101.4,1725699646.109,-0.7734375,2.9375,0.0
-32728.207217103427,-10143.70042528362,101.3,1725699646.184,-0.7734375,2.9375,0.0
-32730.02760435036,-10144.486175657536,102.8,1725699646.184,0.765625,1.6875,0.0
-32724.516193823503,-10133.855931041984,89.7,1725699646.184,-1.65625,13.4140625,0.0
-32727.72712709996,-10140.87310203492,95.7,1725699646.184,-0.46875,5.7890625,0.0
-32728.929356242323,-10144.016420465072,93.7,1725699646.259,-0.1640625,2.4375,0.0
-32729.55919146077,-10140.519224046093,91.2,1725699646.259,1.390625,5.6328125,0.0
-32724.538752923043,-10133.849574672417,90.0,1725699646.259,-1.6328125,13.4140625,0.0
-32728.207217103427,-10143.70042528362,101.3,1725699646.259,-0.7734375,2.9375,0.0
-32727.71960740011,-10140.875220824775,95.8,1725699646.259,-0.4765625,5.7890625,0.0
-32729.976129781702,-10144.476329297133,102.9,1725699646.259,0.71875,1.7109375,0.0
-32724.508674123656,-10133.85804983184,89.6,1725699646.334,-1.6640625,13.4140625,0.0
-32727.721726189968,-10140.882740524625,95.7,1725699646.334,-0.4765625,5.78125,0.0
-32728.207217103427,-10143.70042528362,101.4,1725699646.334,-0.7734375,2.9375,0.0
-32729.97824857156,-10144.48384899698,103.1,1725699646.334,0.71875,1.703125,0.0
-32724.5312332232,-10133.851693462271,89.6,1725699646.409,-1.640625,13.4140625,0.0
-32727.721726189968,-10140.882740524625,95.5,1725699646.409,-0.4765625,5.78125,0.0
-32725.875220871712,-10134.617459350746,82.2,1725699646.409,-0.5546875,12.3125,0.0
-32729.94393219246,-10144.47728475671,103.7,1725699646.409,0.6875,1.71875,0.0
-32728.207217103427,-10143.70042528362,101.6,1725699646.409,-0.7734375,2.9375,0.0
-32728.207217103427,-10143.70042528362,101.4,1725699646.484,-0.7734375,2.9375,0.0
-32730.00292646096,-10144.485012327255,103.7,1725699646.484,0.7421875,1.6953125,0.0
-32726.03820363103,-10134.360502248885,81.4,1725699646.484,-0.328125,12.515625,0.0
-32727.721726189968,-10140.882740524625,95.6,1725699646.484,-0.4765625,5.78125,0.0
-32727.721726189968,-10140.882740524625,95.8,1725699646.559,-0.4765625,5.78125,0.0
-32728.207217103427,-10143.70042528362,101.2,1725699646.559,-0.7734375,2.9375,0.0
-32730.00292646096,-10144.485012327255,103.3,1725699646.559,0.7421875,1.6953125,0.0
-32728.207217103427,-10143.70042528362,101.4,1725699646.649,-0.7734375,2.9375,0.0
-32727.71960740011,-10140.875220824775,95.8,1725699646.649,-0.4765625,5.7890625,0.0
-32724.501154423808,-10133.860168621695,90.0,1725699646.649,-1.671875,13.4140625,0.0
-32729.951451892302,-10144.475165966853,103.6,1725699646.649,0.6953125,1.71875,0.0
-32729.993287971258,-10144.479611417266,103.6,1725699646.709,0.734375,1.703125,0.0
