X_cor,Y_cor,Amplitude,UnixTime,Xrange,Yrange,Velocity[m/s]
-32709.79795000072,-10121.241998901802,91.4,1725700272.658,-3.671875,8.3984375,0.0
-32706.198007467403,-10116.407284932293,85.8,1725700272.658,0.9453125,4.5234375,0.0
-32709.974382288667,-10122.512220903236,101.2,1725700272.658,-4.9296875,8.6484375,0.0
-32714.93863289295,-10117.62854809784,99.0,1725700272.795,0.234375,13.3203125,0.0
-32709.798390387743,-10121.234179172245,89.8,1725700272.795,-3.6640625,8.3984375,0.0
-32709.9743705917,-10122.512200145638,101.3,1725700272.795,-4.9296875,8.6484375,0.0
-32706.19018583542,-10116.40681646478,85.2,1725700272.795,0.9453125,4.515625,0.0
-32723.73773852901,-10119.189737474935,86.2,1725700272.795,-0.8125,22.1953125,0.0
-32723.73819943677,-10119.181543156745,86.0,1725700272.87,-0.8046875,22.1953125,0.0
-32714.93906600925,-10117.620510424727,98.9,1725700272.87,0.2421875,13.3203125,0.0
-32709.737026084164,-10121.347842480043,89.9,1725700272.87,-3.78125,8.34375,0.0
-32706.19014304132,-10116.406733822832,85.1,1725700272.87,0.9453125,4.515625,0.0
-32709.97443648722,-10122.51205013531,101.4,1725700272.87,-4.9296875,8.6484375,0.0
-32709.96618303714,-10122.519395261195,101.3,1725700272.945,-4.9375,8.640625,0.0
-32714.93634103667,-10117.667306152623,98.8,1725700272.945,0.1953125,13.3203125,0.0
-32706.191959689702,-10116.3755366709,85.1,1725700272.945,0.9765625,4.515625,0.0
-32723.7336578158,-10119.259536036572,86.0,1725700272.945,-0.8828125,22.1953125,0.0
-32709.6490416382,-10121.514885194694,91.1,1725700272.945,-3.953125,8.265625,0.0
-32709.965851223933,-10122.51991660485,101.2,1725700273.02,-4.9375,8.640625,0.0
-32706.191102470435,-10116.391420721731,84.8,1725700273.02,0.9609375,4.515625,0.0
-32718.09333080663,-10116.40440690135,88.6,1725700273.02,1.640625,16.3984375,0.0
-32723.73625755731,-10119.214122059244,86.2,1725700273.02,-0.8359375,22.1953125,0.0
-32714.93540308698,-10117.683736574256,98.7,1725700273.02,0.1796875,13.3203125,0.0
-32709.72760426544,-10121.371292636972,90.4,1725700273.02,-3.8046875,8.3359375,0.0
-32709.70097985129,-10121.424574534696,90.8,1725700273.095,-3.859375,8.3125,0.0
-32723.73622812748,-10119.21426617333,86.2,1725700273.095,-0.8359375,22.1953125,0.0
-32714.93856671525,-10117.629227522875,98.8,1725700273.095,0.234375,13.3203125,0.0
-32718.092410609373,-10116.42011210334,88.2,1725700273.095,1.625,16.3984375,0.0
-32706.19109176185,-10116.391448472008,84.9,1725700273.095,0.9609375,4.515625,0.0
