Nrep,Time[s],No in Nrep,Range[m],Velocity[m/s],Azimuth[deg],Elevation[deg],Amplitude[dB],amplitude,Data No,UNIXTIME,date,time(h-m-s)
1,0.075,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011570E+01,1.027000E+02,1,1708923824.429,2024-02-26,14-3-44.429
1,0.075,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977724E+01,9.500000E+01,1,1708923824.429,2024-02-26,14-3-44.429
2,0.15,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011570E+01,1.027000E+02,2,1708923824.490,2024-02-26,14-3-44.490
2,0.15,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977724E+01,9.500000E+01,2,1708923824.490,2024-02-26,14-3-44.490
3,0.22499999999999998,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,3,1708923824.565,2024-02-26,14-3-44.565
3,0.22499999999999998,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977724E+01,9.500000E+01,3,1708923824.565,2024-02-26,14-3-44.565
4,0.3,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011570E+01,1.027000E+02,4,1708923824.640,2024-02-26,14-3-44.640
4,0.3,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977724E+01,9.500000E+01,4,1708923824.640,2024-02-26,14-3-44.640
5,0.375,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,5,1708923824.715,2024-02-26,14-3-44.715
5,0.375,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,5,1708923824.715,2024-02-26,14-3-44.715
6,0.44999999999999996,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,6,1708923824.790,2024-02-26,14-3-44.790
6,0.44999999999999996,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,6,1708923824.790,2024-02-26,14-3-44.790
7,0.525,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,7,1708923824.865,2024-02-26,14-3-44.865
7,0.525,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,7,1708923824.865,2024-02-26,14-3-44.865
