FrameID,SymbolID,UnixTime,Xrange,Yrange,Amplitude,Velocity[m/s]
1,1,1711946438.153,0.8203125,2.5078125,1.025000E+02,0.000000E+00
1,2,1711946438.153,-0.7109375,1.921875,1.124000E+02,0.000000E+00
1,3,1711946438.153,-0.1015625,1.453125,1.151000E+02,0.000000E+00
1,4,1711946438.153,9.09375,12.296875,6.220000E+01,7.484375E+00
1,5,1711946438.153,-3.8203125,2.921875,6.170000E+01,-6.828125E+00
1,6,1711946438.153,-0.296875,2.4296875,5.550000E+01,-1.945312E+00
1,7,1711946438.153,1.265625,2.3203125,1.024000E+02,0.000000E+00
1,8,1711946438.153,0.328125,1.4140625,1.065000E+02,0.000000E+00
1,9,1711946438.153,1.78125,1.6796875,5.380000E+01,-1.945312E+00
1,10,1711946438.153,-0.1796875,3.421875,5.680000E+01,3.898438E+00
1,11,1711946438.153,-0.265625,3.0234375,5.630000E+01,4.554688E+00
1,12,1711946438.153,0.015625,4.8125,6.240000E+01,-7.156250E+00
1,13,1711946438.153,-0.3046875,3.4140625,5.480000E+01,9.437500E+00
1,14,1711946438.153,-0.546875,18.84375,5.970000E+01,4.554688E+00
1,15,1711946438.153,0.625,22.796875,5.640000E+01,7.156250E+00
1,16,1711946438.153,-0.78125,12.8984375,5.950000E+01,-7.804688E+00
1,17,1711946438.153,0.1796875,7.9765625,6.150000E+01,-2.273438E+00
1,18,1711946438.153,-0.25,8.5703125,5.780000E+01,1.296875E+00
1,19,1711946438.153,0.4375,12.515625,5.830000E+01,-7.156250E+00
2,1,1711946438.198,1.2734375,2.3125,1.024000E+02,0.000000E+00
2,2,1711946438.198,-0.71875,1.9140625,1.123000E+02,0.000000E+00
2,3,1711946438.198,-0.1015625,1.453125,1.151000E+02,0.000000E+00
2,4,1711946438.198,1.546875,2.84375,5.760000E+01,2.601562E+00
2,5,1711946438.198,-0.34375,2.6171875,5.740000E+01,8.460938E+00
2,6,1711946438.198,0.0546875,2.8359375,5.570000E+01,-8.460938E+00
2,7,1711946438.198,-2.4609375,2.3828125,5.520000E+01,-3.578125E+00
2,8,1711946438.198,0.8125,2.515625,1.024000E+02,0.000000E+00
2,9,1711946438.198,0.328125,1.4140625,1.064000E+02,0.000000E+00
2,10,1711946438.198,-1.1953125,3.0078125,5.570000E+01,2.601562E+00
2,11,1711946438.198,1.9609375,1.765625,5.430000E+01,8.460938E+00
2,12,1711946438.198,-2.0625,1.9453125,5.030000E+01,-8.460938E+00
2,13,1711946438.198,-0.3046875,5.203125,6.160000E+01,4.554688E+00
2,14,1711946438.198,0.171875,4.0234375,5.660000E+01,6.179688E+00
2,15,1711946438.198,0.03125,3.234375,5.400000E+01,-4.875000E+00
2,16,1711946438.198,-0.59375,22.796875,6.100000E+01,1.625000E+00
2,17,1711946438.198,-0.375,19.640625,6.180000E+01,4.226562E+00
2,18,1711946438.198,-0.0546875,12.1328125,6.290000E+01,5.531250E+00
2,19,1711946438.198,-1.0625,21.0,6.060000E+01,8.781250E+00
2,20,1711946438.198,0.25,10.9453125,6.080000E+01,-9.757812E+00
2,21,1711946438.198,0.0234375,9.359375,6.000000E+01,-5.203125E+00
2,22,1711946438.198,0.609375,12.1171875,6.030000E+01,-4.226562E+00
2,23,1711946438.198,-0.3125,23.796875,6.080000E+01,0.000000E+00
3,1,1711946438.273,1.2890625,2.3046875,1.026000E+02,0.000000E+00
3,2,1711946438.273,-0.71875,1.9140625,1.122000E+02,0.000000E+00
3,3,1711946438.273,-0.1015625,1.453125,1.150000E+02,0.000000E+00
3,4,1711946438.273,2.6796875,2.140625,5.420000E+01,5.203125E+00
3,5,1711946438.273,-0.7109375,2.953125,5.800000E+01,5.203125E+00
3,6,1711946438.273,-0.8671875,2.703125,5.540000E+01,5.851562E+00
3,7,1711946438.273,-0.9765625,2.453125,5.520000E+01,-8.132812E+00
3,8,1711946438.273,-0.984375,2.65625,5.480000E+01,-7.484375E+00
3,9,1711946438.273,0.3984375,2.609375,5.620000E+01,-2.921875E+00
3,10,1711946438.273,0.8203125,2.5078125,1.024000E+02,0.000000E+00
3,11,1711946438.273,0.328125,1.4140625,1.064000E+02,0.000000E+00
3,12,1711946438.273,-2.84375,1.9140625,5.170000E+01,5.203125E+00
3,13,1711946438.273,1.8828125,1.8515625,5.350000E+01,-8.132812E+00
3,14,1711946438.273,1.2421875,2.546875,5.170000E+01,-7.484375E+00
3,15,1711946438.273,1.2109375,2.34375,5.400000E+01,-2.921875E+00
3,16,1711946438.273,0.0,3.0390625,5.150000E+01,-8.132812E+00
3,17,1711946438.273,0.421875,3.609375,5.870000E+01,-6.179688E+00
3,18,1711946438.273,0.390625,21.2265625,5.970000E+01,9.687500E-01
3,19,1711946438.273,0.1953125,12.328125,6.120000E+01,9.687500E-01
3,20,1711946438.273,-0.453125,15.484375,6.280000E+01,-7.156250E+00
3,21,1711946438.273,-0.109375,21.6171875,5.950000E+01,-4.875000E+00
3,22,1711946438.273,0.515625,11.3359375,6.190000E+01,-2.921875E+00
3,23,1711946438.273,0.6328125,18.25,5.980000E+01,-6.484375E-01
3,24,1711946438.273,-0.390625,21.421875,5.650000E+01,6.179688E+00
3,25,1711946438.273,0.0859375,9.5625,5.510000E+01,-8.781250E+00
4,1,1711946438.348,1.2734375,2.3125,1.025000E+02,0.000000E+00
4,2,1711946438.348,-0.71875,1.9140625,1.123000E+02,0.000000E+00
4,3,1711946438.348,-0.1015625,1.453125,1.150000E+02,0.000000E+00
4,4,1711946438.348,-1.609375,2.09375,5.510000E+01,1.296875E+00
4,5,1711946438.348,-0.5703125,2.78125,5.630000E+01,1.945312E+00
4,6,1711946438.348,-0.7109375,2.34375,5.490000E+01,2.921875E+00
4,7,1711946438.348,-0.7421875,2.53125,5.760000E+01,3.578125E+00
4,8,1711946438.348,1.1484375,3.4453125,5.690000E+01,3.898438E+00
4,9,1711946438.348,0.3828125,2.8125,5.490000E+01,3.898438E+00
4,10,1711946438.348,1.3359375,2.5,5.330000E+01,-9.757812E+00
4,11,1711946438.348,2.125,1.8828125,5.490000E+01,-3.898438E+00
4,12,1711946438.348,0.1171875,2.4453125,5.500000E+01,-3.578125E+00
4,13,1711946438.348,4.3125,3.8828125,6.240000E+01,-3.250000E+00
4,14,1711946438.348,-1.6171875,1.8359375,5.290000E+01,-2.921875E+00
4,15,1711946438.348,0.8203125,2.5078125,1.025000E+02,0.000000E+00
4,16,1711946438.348,0.328125,1.4140625,1.064000E+02,0.000000E+00
4,17,1711946438.348,2.09375,1.609375,5.000000E+01,1.296875E+00
4,18,1711946438.348,1.78125,2.203125,5.220000E+01,1.945312E+00
4,19,1711946438.348,0.3359375,2.421875,5.270000E+01,2.921875E+00
4,20,1711946438.348,1.1875,2.359375,5.130000E+01,3.578125E+00
4,21,1711946438.348,-0.6171875,2.765625,5.460000E+01,3.898438E+00
4,22,1711946438.348,0.6015625,2.7734375,5.240000E+01,-9.757812E+00
4,23,1711946438.348,-1.765625,2.21875,5.400000E+01,-3.898438E+00
4,24,1711946438.348,-2.265625,0.921875,5.180000E+01,-3.578125E+00
4,25,1711946438.348,-0.21875,2.4375,4.870000E+01,-2.921875E+00
4,26,1711946438.348,-0.125,3.0390625,5.640000E+01,4.554688E+00
4,27,1711946438.348,-0.609375,4.578125,6.010000E+01,-1.296875E+00
4,28,1711946438.348,-0.09375,13.90625,5.880000E+01,2.921875E+00
4,29,1711946438.348,0.1328125,8.1796875,6.140000E+01,3.250000E+00
4,30,1711946438.348,0.234375,18.0625,6.160000E+01,-4.875000E+00
4,31,1711946438.348,-0.0078125,6.9921875,6.220000E+01,-4.875000E+00
4,32,1711946438.348,0.5546875,21.015625,6.000000E+01,-3.578125E+00
4,33,1711946438.348,-0.15625,17.46875,6.070000E+01,-2.601562E+00
4,34,1711946438.348,0.0,8.375,6.380000E+01,-2.601562E+00
4,35,1711946438.348,-0.2578125,13.7109375,6.970000E+01,0.000000E+00
4,36,1711946438.348,-0.140625,11.9296875,5.930000E+01,-2.921875E+00
5,1,1711946438.423,1.2890625,2.3046875,1.027000E+02,0.000000E+00
5,2,1711946438.423,-0.71875,1.9140625,1.122000E+02,0.000000E+00
5,3,1711946438.423,-0.1015625,1.453125,1.150000E+02,0.000000E+00
5,4,1711946438.423,2.1640625,1.1328125,5.890000E+01,7.484375E+00
5,5,1711946438.423,1.3984375,2.46875,5.590000E+01,8.460938E+00
5,6,1711946438.423,1.515625,3.078125,5.720000E+01,-9.109375E+00
5,7,1711946438.423,1.203125,2.7890625,5.900000E+01,-9.109375E+00
5,8,1711946438.423,3.65625,1.671875,5.850000E+01,-7.804688E+00
5,9,1711946438.423,-2.0546875,2.9921875,5.530000E+01,-7.804688E+00
5,10,1711946438.423,-1.9296875,1.5,5.450000E+01,-3.578125E+00
5,11,1711946438.423,-0.8671875,2.9140625,5.760000E+01,-1.945312E+00
5,12,1711946438.423,0.8125,2.5078125,1.025000E+02,0.000000E+00
5,13,1711946438.423,0.328125,1.4140625,1.063000E+02,0.000000E+00
5,14,1711946438.423,-0.5703125,2.375,5.680000E+01,7.484375E+00
5,15,1711946438.423,0.5625,2.78125,5.490000E+01,8.460938E+00
5,16,1711946438.423,2.71875,2.09375,5.430000E+01,-9.109375E+00
5,17,1711946438.423,-0.6796875,2.3515625,5.370000E+01,-3.578125E+00
5,18,1711946438.423,0.5546875,2.984375,5.270000E+01,-1.945312E+00
5,19,1711946438.423,-0.4296875,5.1953125,6.190000E+01,3.898438E+00
5,20,1711946438.423,-0.34375,3.21875,5.750000E+01,6.828125E+00
5,21,1711946438.423,-0.03125,4.2265625,5.920000E+01,-5.203125E+00
5,22,1711946438.423,0.1640625,3.421875,5.460000E+01,1.008594E+01
5,23,1711946438.423,-0.09375,17.6640625,6.130000E+01,-6.484375E-01
5,24,1711946438.423,-0.0546875,24.78125,7.630000E+01,0.000000E+00
5,25,1711946438.423,0.296875,22.8046875,5.730000E+01,-6.828125E+00
