FrameID,SymbolID,UnixTime,Xrange,Yrange,Amplitude,Velocity[m/s]
4213,9,1720422748.323,4.453125,10.2109375,110.6,-0.6484375
4213,10,1720422748.323,3.3515625,8.53125,111.5,-0.6484375
4216,7,1720422748.548,3.3515625,10.421875,110.5,-0.6484375
4216,8,1720422748.548,2.421875,8.6328125,106.4,-0.6484375
4216,9,1720422748.548,1.4765625,6.8359375,107.4,-0.6484375
4216,10,1720422748.548,-1.0,2.8671875,111.7,-0.3203125
4223,11,1720422749.073,2.2578125,10.5078125,105.9,-0.6484375
4223,12,1720422749.073,1.4140625,8.453125,108.2,-0.6484375
4223,13,1720422749.073,0.6640625,6.5625,107.5,-0.6484375
4223,14,1720422749.073,-1.078125,2.625,111.9,-0.3203125
4224,5,1720422749.148,2.296875,10.296875,106.7,-0.6484375
4224,6,1720422749.148,1.4375,8.4453125,108.7,-0.6484375
4224,7,1720422749.148,0.578125,6.5703125,108.7,-0.6484375
4224,8,1720422749.148,-1.1484375,2.59375,115.2,-0.3203125
4225,12,1720422749.223,2.328125,10.2890625,107.0,-0.6484375
4225,13,1720422749.223,1.4765625,8.4453125,109.8,-0.6484375
4225,14,1720422749.223,0.625,6.3671875,105.9,-0.6484375
4225,15,1720422749.223,-1.1953125,2.5703125,107.5,-0.3203125
4226,4,1720422749.311,2.46875,10.2578125,105.8,-0.6484375
4226,5,1720422749.311,1.5390625,8.4296875,108.5,-0.6484375
4226,6,1720422749.311,0.5546875,6.375,106.6,-0.6484375
4226,7,1720422749.311,-1.2421875,2.328125,111.4,-0.3203125
4227,10,1720422749.373,3.375,12.0625,105.3,-0.6484375
4227,11,1720422749.373,2.75,10.1796875,105.4,-0.6484375
4227,12,1720422749.373,1.6875,8.203125,107.3,-0.6484375
4227,13,1720422749.373,0.7265625,6.359375,106.0,-0.6484375
4227,14,1720422749.373,-1.3046875,2.515625,107.5,-0.3203125
4228,11,1720422749.448,2.7578125,9.9765625,106.3,-0.6484375
4228,12,1720422749.448,1.8515625,8.1640625,106.1,-0.6484375
4228,13,1720422749.448,0.84375,6.34375,105.4,-0.6484375
4228,15,1720422749.448,-1.109375,2.3984375,112.3,-0.3203125
4228,21,1720422749.448,0.0703125,4.421875,106.3,-0.6484375
4233,7,1720422749.822,4.65625,11.4140625,105.1,-0.6484375
4233,8,1720422749.822,3.5625,9.5078125,108.4,-0.6484375
4233,9,1720422749.822,2.46875,7.796875,106.2,-0.6484375
4233,11,1720422749.822,-0.9453125,2.2578125,113.0,-0.3203125
4236,8,1720422750.047,3.953125,9.3515625,111.6,-0.3203125
4236,9,1720422750.047,2.78125,7.6953125,105.4,-0.3203125
4236,10,1720422750.047,1.6015625,5.78125,108.0,-0.3203125
4236,11,1720422750.047,-0.828125,2.296875,115.8,-0.3203125
4238,11,1720422750.197,4.21875,9.015625,110.6,-0.3203125
4238,12,1720422750.197,3.046875,7.375,105.8,-0.3203125
4238,13,1720422750.197,1.796875,5.7265625,106.3,-0.3203125
4238,14,1720422750.197,-0.7578125,2.328125,109.1,-0.3203125
4240,4,1720422750.362,4.4453125,8.90625,108.6,-0.3203125
4240,5,1720422750.362,3.2734375,7.2734375,105.1,-0.3203125
4240,6,1720422750.362,1.953125,5.671875,109.1,-0.3203125
4240,8,1720422750.362,-0.96875,2.2421875,109.6,-0.3203125
4366,9,1720422759.793,3.1484375,5.796875,105.5,-0.6484375
4366,10,1720422759.793,1.7421875,4.0625,113.9,-0.6484375
4366,13,1720422759.793,-0.390625,1.1953125,106.6,-0.3203125
4369,9,1720422760.033,1.6015625,3.9140625,115.0,-0.6484375
4378,9,1720422760.693,4.671875,8.5625,106.0,-0.6484375
4378,10,1720422760.693,2.46875,5.46875,117.1,-0.6484375
4378,11,1720422760.693,1.1328125,3.65625,109.0,-0.6484375
4378,12,1720422760.693,0.015625,2.046875,111.0,-0.6484375
4379,7,1720422760.768,4.5546875,8.40625,105.2,-0.6484375
4379,8,1720422760.768,2.4375,5.484375,115.4,-0.6484375
4379,9,1720422760.768,1.1015625,3.6640625,107.1,-0.6484375
4379,12,1720422760.768,-0.0390625,1.8515625,110.1,-0.6484375
4380,7,1720422760.842,4.4140625,8.484375,105.2,-0.6484375
4380,8,1720422760.842,2.296875,5.328125,115.2,-0.6484375
4380,9,1720422760.842,1.1015625,3.6640625,114.3,-0.6484375
4380,11,1720422760.842,-0.109375,1.8515625,109.4,-0.6484375
4385,7,1720422761.233,3.140625,7.1171875,107.3,-0.6484375
4385,8,1720422761.233,1.8828125,5.28125,108.1,-0.6484375
4385,9,1720422761.233,0.828125,3.5390625,115.5,-0.6484375
4385,10,1720422761.233,-0.34375,1.6171875,109.8,-0.3203125
4386,9,1720422761.293,3.8828125,8.296875,105.6,-0.6484375
4386,10,1720422761.293,3.0390625,6.953125,107.7,-0.6484375
4386,11,1720422761.293,1.8984375,5.28125,106.2,-0.6484375
4386,12,1720422761.293,0.8515625,3.53125,110.4,-0.6484375
4386,13,1720422761.293,-0.3359375,1.625,111.2,-0.6484375
4387,9,1720422761.382,3.8984375,8.2890625,107.4,-0.6484375
4387,10,1720422761.382,3.015625,6.9609375,109.7,-0.6484375
4387,11,1720422761.382,1.8125,5.09375,108.5,-0.6484375
4387,12,1720422761.382,0.7421875,3.3515625,114.2,-0.6484375
4388,7,1720422761.442,3.921875,8.28125,108.3,-0.6484375
4388,8,1720422761.442,2.984375,6.9765625,111.3,-0.6484375
4388,9,1720422761.442,1.78125,5.1015625,114.0,-0.6484375
4388,10,1720422761.442,0.6875,3.359375,113.1,-0.6484375
4389,5,1720422761.532,3.75,8.359375,107.6,-0.6484375
4389,6,1720422761.532,2.921875,6.78125,107.8,-0.6484375
4389,7,1720422761.532,1.8046875,5.09375,111.9,-0.6484375
4389,8,1720422761.532,0.765625,3.140625,112.4,-0.6484375
4389,9,1720422761.532,-0.40625,1.3984375,105.1,-0.3203125
4390,14,1720422761.593,3.765625,8.140625,107.5,-0.6484375
4390,15,1720422761.593,2.8671875,6.8046875,110.0,-0.6484375
4390,16,1720422761.593,1.7578125,5.109375,112.9,-0.6484375
4390,20,1720422761.593,-0.4296875,1.6015625,105.9,-0.3203125
4391,10,1720422761.667,3.65625,8.1875,108.6,-0.6484375
4391,11,1720422761.667,2.8203125,6.8203125,112.9,-0.6484375
4391,12,1720422761.667,1.6875,5.140625,115.7,-0.6484375
4391,13,1720422761.667,0.8046875,3.1328125,106.8,-0.6484375
4392,13,1720422761.743,3.7109375,8.1640625,108.5,-0.6484375
4392,14,1720422761.743,2.765625,6.84375,114.7,-0.6484375
4392,15,1720422761.743,1.6171875,4.953125,109.1,-0.6484375
4392,16,1720422761.743,-0.4765625,1.375,111.0,-0.3203125
4393,9,1720422761.817,3.6484375,8.1953125,110.7,-0.6484375
4393,10,1720422761.817,2.671875,6.671875,113.5,-0.6484375
4393,11,1720422761.817,1.578125,4.96875,107.4,-0.6484375
4393,12,1720422761.817,-0.5546875,1.34375,111.7,-0.3203125
4393,20,1720422761.817,0.53125,3.1875,114.7,-0.6484375
4394,4,1720422761.907,3.5390625,8.03125,109.0,-0.6484375
4394,5,1720422761.907,2.625,6.6875,113.9,-0.6484375
4394,7,1720422761.907,-0.5859375,1.328125,110.8,-0.3203125
4394,10,1720422761.907,0.4609375,3.0,118.2,-0.6484375
4396,9,1720422762.042,3.3828125,8.09375,113.3,-0.6484375
4396,10,1720422762.042,2.53125,6.7265625,113.1,-0.6484375
4396,11,1720422762.042,-0.6875,1.28125,109.3,-0.3203125
4396,23,1720422762.042,0.390625,3.015625,116.8,-0.6484375
4398,4,1720422762.192,3.15625,7.96875,110.1,-0.6484375
4398,5,1720422762.192,2.4140625,6.5625,113.5,-0.6484375
4398,6,1720422762.192,1.3046875,4.84375,110.3,-0.6484375
4398,16,1720422762.192,0.140625,3.0390625,108.4,-0.6484375
4402,14,1720422762.492,3.03125,7.8046875,117.0,-0.6484375
4402,15,1720422762.492,2.1875,6.4296875,117.6,-0.6484375
4402,16,1720422762.492,1.1953125,4.6640625,110.2,-0.6484375
4402,19,1720422762.492,-0.6328125,1.3046875,107.4,-0.3203125
4403,9,1720422762.567,2.953125,7.8359375,117.9,-0.6484375
4403,10,1720422762.567,2.1796875,6.4296875,116.1,-0.6484375
4403,11,1720422762.567,1.140625,4.4765625,110.3,-0.6484375
4403,12,1720422762.567,0.109375,2.8359375,111.4,-0.6484375
4404,8,1720422762.642,3.0,7.8203125,114.7,-0.6484375
4404,9,1720422762.642,2.1796875,6.4296875,114.9,-0.6484375
4404,10,1720422762.642,1.078125,4.4921875,110.4,-0.6484375
4404,11,1720422762.642,-0.0546875,2.640625,105.9,-0.6484375
4407,7,1720422762.881,2.8984375,7.6484375,111.0,-0.6484375
4407,8,1720422762.881,2.0703125,6.2578125,114.2,-0.6484375
4407,9,1720422762.881,1.0546875,4.4921875,108.4,-0.6484375
4407,10,1720422762.881,0.0234375,2.640625,108.6,-0.6484375
4408,10,1720422762.942,2.8828125,7.65625,115.9,-0.6484375
4408,11,1720422762.942,2.0234375,6.2734375,109.9,-0.6484375
4408,12,1720422762.942,0.9296875,4.3203125,113.7,-0.6484375
4408,15,1720422762.942,-0.2890625,2.0234375,106.1,-0.6484375
4409,11,1720422763.017,2.859375,7.6640625,113.3,-0.6484375
4409,12,1720422763.017,1.9453125,6.09375,109.4,-0.6484375
4409,13,1720422763.017,0.8515625,4.3359375,111.8,-0.6484375
4409,14,1720422763.017,0.03125,2.4453125,109.4,-0.6484375
4410,9,1720422763.091,2.71875,7.5,112.2,-0.6484375
4410,10,1720422763.091,1.9375,6.09375,109.1,-0.6484375
4410,11,1720422763.091,0.90625,4.328125,112.2,-0.6484375
4410,12,1720422763.091,-0.1640625,2.4375,109.0,-0.6484375
4420,9,1720422763.856,2.578125,7.1328125,114.8,-0.6484375
4420,10,1720422763.856,1.7109375,5.75,108.7,-0.6484375
4421,8,1720422763.931,2.546875,7.1484375,116.7,-0.6484375
4421,9,1720422763.931,1.6484375,5.5625,109.5,-0.6484375
4421,11,1720422763.931,-0.4609375,1.9921875,105.8,-0.6484375
4421,16,1720422763.931,0.6171875,3.78125,110.7,-0.6484375
4422,14,1720422763.991,2.515625,7.15625,115.2,-0.6484375
4422,15,1720422763.991,1.671875,5.5625,109.3,-0.6484375
4422,16,1720422763.991,-0.2578125,1.8359375,107.8,-0.6484375
4422,22,1720422763.991,0.609375,3.78125,110.8,-0.6484375
4424,9,1720422764.141,2.453125,6.9609375,116.2,-0.6484375
4424,12,1720422764.141,-0.5859375,1.9609375,107.9,-0.3203125
4426,9,1720422764.291,2.359375,6.7890625,115.6,-0.6484375
