FrameID,SymbolID,UnixTime,Xrange,Yrange,Amplitude,Velocity[m/s]
19370,1,1720423885.38,2.6015625,18.4765625,83.8,0.0
19370,5,1720423885.38,1.296875,3.171875,101.2,0.0
19370,7,1720423885.38,-0.578125,2.375,104.9,0.0
19370,10,1720423885.38,-1.8359375,18.5625,80.2,0.0
19370,17,1720423885.38,0.15625,12.5234375,86.9,0.0
19371,1,1720423885.47,2.6484375,18.46875,85.4,0.0
19371,4,1720423885.47,1.2890625,3.1796875,102.0,0.0
19371,6,1720423885.47,-0.578125,2.375,104.8,0.0
19371,15,1720423885.47,0.125,12.5234375,87.1,0.0
19373,1,1720423885.605,-2.6015625,18.671875,82.6,0.0
19373,4,1720423885.605,1.296875,3.171875,101.8,0.0
19373,6,1720423885.605,-0.578125,2.375,104.9,0.0
19373,14,1720423885.605,2.140625,18.7265625,80.7,0.0
19373,23,1720423885.605,0.125,12.5234375,87.1,0.0
19375,1,1720423885.755,-2.6015625,18.671875,83.1,0.0
19375,5,1720423885.755,1.296875,3.171875,101.7,0.0
19375,7,1720423885.755,-0.578125,2.375,104.9,0.0
19375,14,1720423885.755,2.703125,18.65625,80.5,0.0
19375,24,1720423885.755,0.1640625,12.5234375,86.3,0.0
19375,25,1720423885.755,-0.234375,11.9296875,82.9,0.0
19376,1,1720423885.83,-2.5703125,18.6796875,82.1,0.0
19376,2,1720423885.83,4.4609375,14.6328125,87.0,0.0
19376,4,1720423885.83,1.296875,3.171875,101.7,0.0
19376,6,1720423885.83,-0.578125,2.375,104.9,0.0
19376,11,1720423885.83,2.734375,18.65625,81.1,0.0
19376,16,1720423885.83,0.171875,12.5234375,86.4,0.0
19377,1,1720423885.905,-2.4921875,18.6875,81.8,0.0
19377,4,1720423885.905,1.296875,3.1796875,101.7,0.0
19377,6,1720423885.905,-0.578125,2.375,104.9,0.0
19377,26,1720423885.905,0.171875,12.5234375,86.6,0.0
19378,1,1720423885.98,-2.5390625,18.6796875,82.9,0.0
19378,4,1720423885.98,1.296875,3.171875,101.5,0.0
19378,6,1720423885.98,-0.578125,2.375,104.9,0.0
19378,11,1720423885.98,2.5234375,18.6796875,80.4,0.0
19378,23,1720423885.98,0.109375,12.5234375,86.3,0.0
19379,1,1720423886.069,-2.578125,18.671875,83.2,0.0
19379,5,1720423886.069,1.296875,3.171875,101.3,0.0
19379,7,1720423886.069,-0.578125,2.375,104.8,0.0
19379,8,1720423886.069,2.3671875,18.703125,82.0,0.0
19379,13,1720423886.069,0.15625,12.5234375,86.6,0.0
19380,1,1720423886.13,2.8125,18.4453125,83.9,0.0
19380,5,1720423886.13,1.3046875,3.171875,101.3,0.0
19380,7,1720423886.13,-0.578125,2.375,104.9,0.0
19380,24,1720423886.13,0.1875,12.5234375,86.1,0.0
19381,1,1720423886.205,-2.59375,18.671875,82.8,0.0
19381,2,1720423886.205,7.0078125,14.2578125,80.8,0.0
19381,6,1720423886.205,1.3046875,3.171875,101.5,0.0
19381,8,1720423886.205,-0.578125,2.375,105.0,0.0
19381,15,1720423886.205,2.2890625,18.7109375,81.2,0.0
19381,23,1720423886.205,0.15625,12.5234375,85.6,0.0
19383,1,1720423886.377,6.96875,14.28125,81.5,0.0
19383,5,1720423886.377,1.3046875,3.171875,101.8,0.0
19383,7,1720423886.377,-0.578125,2.375,105.0,0.0
19383,13,1720423886.377,0.25,12.5234375,85.9,0.0
