FrameID,SymbolID,UnixTime,Xrange,Yrange,Amplitude,Velocity[m/s]
1,1,1720424223.579,-4.2265625,16.1328125,7.270000E+01,0.000000E+00
1,2,1720424223.579,7.5625,7.3515625,9.110000E+01,0.000000E+00
1,3,1720424223.579,5.9453125,6.453125,8.520000E+01,0.000000E+00
1,4,1720424223.579,6.3125,4.875,9.000000E+01,0.000000E+00
1,5,1720424223.579,0.328125,2.6171875,1.156000E+02,3.203125E-01
1,6,1720424223.579,-0.9453125,1.359375,1.153000E+02,3.203125E-01
1,7,1720424223.579,-2.5546875,6.078125,6.400000E+01,3.578125E+00
1,8,1720424223.579,0.6875,2.75,5.600000E+01,3.578125E+00
1,9,1720424223.579,2.03125,1.359375,5.300000E+01,3.578125E+00
1,10,1720424223.579,-5.078125,7.1484375,6.340000E+01,5.851562E+00
1,11,1720424223.579,0.8203125,2.3046875,5.540000E+01,-9.109375E+00
1,12,1720424223.579,-1.5546875,2.3671875,5.700000E+01,-7.156250E+00
1,13,1720424223.579,6.234375,10.859375,6.430000E+01,-2.601562E+00
1,14,1720424223.579,-0.859375,2.703125,5.580000E+01,3.578125E+00
1,15,1720424223.579,1.5078125,1.921875,5.180000E+01,3.578125E+00
1,16,1720424223.579,-1.296875,2.75,5.640000E+01,-3.250000E+00
1,17,1720424223.579,2.6484375,1.484375,5.800000E+01,-2.601562E+00
1,18,1720424223.579,0.4296875,4.0,5.740000E+01,-7.484375E+00
1,19,1720424223.579,0.6640625,5.765625,6.320000E+01,-5.851562E+00
1,20,1720424223.579,-0.53125,20.2265625,6.280000E+01,6.484375E-01
1,21,1720424223.579,0.375,16.671875,6.070000E+01,2.273438E+00
1,22,1720424223.579,0.0859375,11.734375,6.050000E+01,4.875000E+00
1,23,1720424223.579,-0.34375,13.703125,6.530000E+01,8.460938E+00
1,24,1720424223.579,0.5078125,22.796875,6.080000E+01,-9.109375E+00
1,25,1720424223.579,0.046875,13.7109375,6.150000E+01,-8.460938E+00
1,26,1720424223.579,-0.3984375,19.0390625,6.090000E+01,-4.875000E+00
1,27,1720424223.579,-0.15625,14.8984375,6.190000E+01,-3.578125E+00
1,28,1720424223.579,-0.203125,9.7578125,6.320000E+01,-2.601562E+00
1,29,1720424223.579,-0.15625,15.4921875,6.260000E+01,-3.203125E-01
1,30,1720424223.579,0.234375,6.1953125,6.350000E+01,5.851562E+00
2,1,1720424223.653,7.5625,7.3515625,9.100000E+01,0.000000E+00
2,2,1720424223.653,6.328125,4.859375,9.040000E+01,0.000000E+00
2,3,1720424223.653,0.84375,2.7109375,5.640000E+01,-1.008594E+01
2,4,1720424223.653,-1.4765625,1.953125,5.680000E+01,-1.008594E+01
