FrameID,SymbolID,UnixTime,Xrange,Yrange,Amplitude,Velocity[m/s]
1,3,1721193683.105,-4.84375,12.40625,99.2,0.0
1,6,1721193683.105,-0.7578125,6.953125,93.0,0.0
1,23,1721193683.105,1.203125,22.1796875,92.8,0.0
1,24,1721193683.105,0.453125,18.0546875,97.8,0.0
1,25,1721193683.105,0.2265625,15.890625,86.6,0.0
2,3,1721193683.18,-4.8515625,12.40625,99.2,0.0
2,6,1721193683.18,-0.8125,6.9453125,92.3,0.0
2,26,1721193683.18,1.21875,22.1796875,92.6,0.0
2,27,1721193683.18,0.4609375,18.0546875,97.9,0.0
2,28,1721193683.18,0.1953125,15.890625,86.7,0.0
3,3,1721193683.255,-4.859375,12.3984375,99.4,0.0
3,6,1721193683.255,-0.8125,6.9453125,92.2,0.0
3,17,1721193683.255,1.2109375,22.1796875,92.1,0.0
3,18,1721193683.255,0.4609375,18.0546875,97.9,0.0
3,19,1721193683.255,0.234375,15.890625,86.6,0.0
4,3,1721193683.33,-4.8515625,12.40625,99.4,0.0
4,6,1721193683.33,-0.7890625,6.9453125,91.7,0.0
4,17,1721193683.33,-2.1171875,6.6640625,82.9,0.0
4,28,1721193683.33,1.2109375,22.1796875,92.3,0.0
4,29,1721193683.33,0.46875,18.0546875,98.0,0.0
4,30,1721193683.33,0.21875,15.890625,86.4,0.0
5,3,1721193683.405,-4.84375,12.40625,99.1,0.0
5,6,1721193683.405,-0.7421875,6.953125,93.0,0.0
5,23,1721193683.405,1.2109375,22.1796875,92.5,0.0
5,24,1721193683.405,0.4609375,18.0546875,97.9,0.0
5,25,1721193683.405,0.1953125,15.890625,86.7,0.0
6,3,1721193683.48,-4.8515625,12.40625,99.0,0.0
6,6,1721193683.48,-0.8125,6.9453125,91.9,0.0
6,31,1721193683.48,1.203125,22.1796875,92.9,0.0
6,32,1721193683.48,0.46875,18.0546875,97.9,0.0
6,33,1721193683.48,0.265625,15.890625,86.2,0.0
7,3,1721193683.555,-4.8671875,12.3984375,99.3,0.0
7,6,1721193683.555,-0.84375,6.9375,92.2,0.0
7,26,1721193683.555,1.203125,22.1796875,92.5,0.0
7,27,1721193683.555,0.4609375,18.0546875,97.9,0.0
7,28,1721193683.555,0.21875,15.890625,86.4,0.0
8,3,1721193683.63,-4.8671875,12.3984375,99.1,0.0
8,6,1721193683.63,-0.7421875,6.953125,92.9,0.0
8,26,1721193683.63,1.21875,22.1796875,92.4,0.0
8,27,1721193683.63,0.453125,18.0546875,97.9,0.0
8,28,1721193683.63,0.2109375,15.890625,86.7,0.0
9,3,1721193683.705,-4.890625,12.390625,98.8,0.0
9,6,1721193683.705,-0.75,6.953125,93.7,0.0
9,26,1721193683.705,1.1875,22.1796875,92.2,0.0
9,27,1721193683.705,0.4609375,18.0546875,98.0,0.0
9,28,1721193683.705,0.2734375,15.890625,86.2,0.0
10,3,1721193683.78,-4.8515625,12.40625,98.7,0.0
10,6,1721193683.78,-0.75,6.953125,93.6,0.0
10,31,1721193683.78,1.21875,22.1796875,92.6,0.0
10,32,1721193683.78,0.4609375,18.0546875,98.0,0.0
10,33,1721193683.78,0.265625,15.890625,86.2,0.0
11,3,1721193683.855,-4.8828125,12.390625,99.2,0.0
11,6,1721193683.855,-0.7890625,6.9453125,92.6,0.0
11,17,1721193683.855,-2.1875,6.640625,82.8,0.0
11,26,1721193683.855,1.21875,22.1796875,92.6,0.0
11,27,1721193683.855,0.453125,18.0546875,98.0,0.0
11,28,1721193683.855,0.296875,15.890625,86.3,0.0
12,3,1721193683.93,-4.875,12.3984375,99.1,0.0
12,24,1721193683.93,1.171875,22.1796875,92.7,0.0
12,25,1721193683.93,0.4765625,18.0546875,97.8,0.0
12,26,1721193683.93,0.234375,15.890625,86.1,0.0
13,3,1721193684.005,-4.859375,12.3984375,99.0,0.0
13,6,1721193684.005,-0.71875,6.953125,93.4,0.0
13,25,1721193684.005,1.203125,22.1796875,92.7,0.0
13,26,1721193684.005,0.4765625,18.0546875,97.7,0.0
13,27,1721193684.005,0.1953125,15.890625,86.0,0.0
14,3,1721193684.08,-4.8984375,12.3828125,99.0,0.0
14,6,1721193684.08,-0.84375,6.9375,92.6,0.0
14,21,1721193684.08,1.1796875,22.1796875,92.5,0.0
14,22,1721193684.08,0.46875,18.0546875,97.8,0.0
14,23,1721193684.08,0.265625,15.890625,85.9,0.0
15,3,1721193684.155,-4.90625,12.3828125,99.2,0.0
15,6,1721193684.155,-0.84375,6.9375,92.5,0.0
15,16,1721193684.155,1.15625,22.1796875,92.7,0.0
15,17,1721193684.155,0.4765625,18.0546875,97.8,0.0
15,18,1721193684.155,0.234375,15.890625,86.4,0.0
16,3,1721193684.23,-4.890625,12.390625,99.1,0.0
