Nrep,Time[s],No in Nrep,Range[m],Velocity[m/s],Azimuth[deg],Elevation[deg],Amplitude[dB],amplitude,Data No,UNIXTIME,date,time(h-m-s)
1,0.075,1,11.346,0.0,-3.83,0,20.11,102.6,1,1708967372.347,2024/02/26,17-09-32.347
1,0.075,2,1.85,0.0,-4.603,0,19.77,94.9,1,1708967372.347,2024/02/26,17-09-32.347
2,0.15,1,11.345,0.0,-3.79,0,20.11,102.6,2,1708967372.422,2024/02/26,17-09-32.422
2,0.15,2,1.85,0.0,-4.603,0,19.77,94.9,2,1708967372.422,2024/02/26,17-09-32.422
3,0.225,1,11.345,0.0,-3.79,0,20.11,102.6,3,1708967372.497,2024/02/26,17-09-32.497
3,0.225,2,1.85,0.0,-4.603,0,19.77,94.9,3,1708967372.497,2024/02/26,17-09-32.497
4,0.3,1,11.346,0.0,-3.83,0,20.11,102.6,4,1708967372.572,2024/02/26,17-09-32.572
4,0.3,2,1.85,0.0,-4.603,0,19.77,94.8,4,1708967372.572,2024/02/26,17-09-32.572
5,0.375,1,11.346,0.0,-3.83,0,20.11,102.6,5,1708967372.647,2024/02/26,17-09-32.647
5,0.375,2,1.85,0.0,-4.603,0,19.77,94.9,5,1708967372.647,2024/02/26,17-09-32.647
6,0.45,1,11.346,0.0,-3.83,0,20.11,102.6,6,1708967372.722,2024/02/26,17-09-32.722
6,0.45,2,1.85,0.0,-4.603,0,19.77,94.8,6,1708967372.722,2024/02/26,17-09-32.722
7,0.525,1,11.346,0.0,-3.83,0,20.11,102.6,7,1708967372.797,2024/02/26,17-09-32.797
7,0.525,2,1.85,0.0,-4.603,0,19.77,94.9,7,1708967372.797,2024/02/26,17-09-32.797
8,0.6,1,11.345,0.0,-3.79,0,20.11,102.6,8,1708967372.872,2024/02/26,17-09-32.872
8,0.6,2,1.85,0.0,-4.603,0,19.77,94.9,8,1708967372.872,2024/02/26,17-09-32.872
9,0.675,1,11.346,0.0,-3.83,0,20.11,102.6,9,1708967372.947,2024/02/26,17-09-32.947
9,0.675,2,1.85,0.0,-4.603,0,19.77,94.9,9,1708967372.947,2024/02/26,17-09-32.947
10,0.75,1,11.346,0.0,-3.83,0,20.11,102.6,10,1708967373.022,2024/02/26,17-09-33.022
10,0.75,2,1.85,0.0,-4.603,0,19.77,94.8,10,1708967373.022,2024/02/26,17-09-33.022
11,0.825,1,11.345,0.0,-3.79,0,20.11,102.5,11,1708967373.097,2024/02/26,17-09-33.097
11,0.825,2,1.85,0.0,-4.603,0,19.77,94.9,11,1708967373.097,2024/02/26,17-09-33.097
12,0.9,1,11.346,0.0,-3.83,0,20.11,102.6,12,1708967373.172,2024/02/26,17-09-33.172
12,0.9,2,1.85,0.0,-4.603,0,19.77,94.8,12,1708967373.172,2024/02/26,17-09-33.172
13,0.975,1,11.346,0.0,-3.83,0,20.11,102.6,13,1708967373.247,2024/02/26,17-09-33.247
13,0.975,2,1.85,0.0,-4.603,0,19.77,94.8,13,1708967373.247,2024/02/26,17-09-33.247
13,0.975,3,1.26,0.0,-43.995,0,19.36,86.3,13,1708967373.247,2024/02/26,17-09-33.247
13,0.975,4,1.257,0.0,41.219,0,19.0,79.5,13,1708967373.247,2024/02/26,17-09-33.247
14,1.05,1,11.346,0.0,-3.83,0,20.11,102.6,14,1708967373.322,2024/02/26,17-09-33.322
14,1.05,2,1.85,0.0,-4.603,0,19.77,94.9,14,1708967373.322,2024/02/26,17-09-33.322
15,1.125,1,11.346,0.0,-3.83,0,20.11,102.5,15,1708967373.397,2024/02/26,17-09-33.397
15,1.125,2,1.85,0.0,-4.603,0,19.77,94.8,15,1708967373.397,2024/02/26,17-09-33.397
16,1.2,1,11.346,0.0,-3.83,0,20.11,102.6,16,1708967373.472,2024/02/26,17-09-33.472
16,1.2,2,1.85,0.0,-4.603,0,19.77,94.8,16,1708967373.472,2024/02/26,17-09-33.472
17,1.275,1,11.345,0.0,-3.79,0,20.11,102.6,17,1708967373.547,2024/02/26,17-09-33.547
17,1.275,2,1.85,0.0,-4.603,0,19.77,94.8,17,1708967373.547,2024/02/26,17-09-33.547
18,1.35,1,11.346,0.0,-3.83,0,20.11,102.5,18,1708967373.622,2024/02/26,17-09-33.622
18,1.35,2,1.85,0.0,-4.603,0,19.77,94.8,18,1708967373.622,2024/02/26,17-09-33.622
19,1.425,1,11.346,0.0,-3.83,0,20.11,102.5,19,1708967373.697,2024/02/26,17-09-33.697
19,1.425,2,1.85,0.0,-4.603,0,19.77,94.9,19,1708967373.697,2024/02/26,17-09-33.697
20,1.5,1,11.346,0.0,-3.83,0,20.11,102.5,20,1708967373.772,2024/02/26,17-09-33.772
20,1.5,2,1.85,0.0,-4.603,0,19.77,94.8,20,1708967373.772,2024/02/26,17-09-33.772
21,1.575,1,11.346,0.0,-3.83,0,20.11,102.5,21,1708967373.847,2024/02/26,17-09-33.847
21,1.575,2,1.85,0.0,-4.603,0,19.77,94.8,21,1708967373.847,2024/02/26,17-09-33.847
22,1.65,1,11.346,0.0,-3.83,0,20.11,102.5,22,1708967373.922,2024/02/26,17-09-33.922
22,1.65,2,1.85,0.0,-4.603,0,19.77,94.8,22,1708967373.922,2024/02/26,17-09-33.922
23,1.725,1,11.346,0.0,-3.83,0,20.11,102.5,23,1708967373.997,2024/02/26,17-09-33.997
23,1.725,2,1.85,0.0,-4.603,0,19.77,94.8,23,1708967373.997,2024/02/26,17-09-33.997
24,1.8,1,11.345,0.0,-3.79,0,20.11,102.5,24,1708967374.072,2024/02/26,17-09-34.072
24,1.8,2,1.85,0.0,-4.603,0,19.77,94.8,24,1708967374.072,2024/02/26,17-09-34.072
25,1.875,1,11.345,0.0,-3.79,0,20.11,102.5,25,1708967374.147,2024/02/26,17-09-34.147
25,1.875,2,1.85,0.0,-4.603,0,19.77,94.8,25,1708967374.147,2024/02/26,17-09-34.147
26,1.95,1,11.346,0.0,-3.83,0,20.11,102.5,26,1708967374.222,2024/02/26,17-09-34.222
26,1.95,2,1.85,0.0,-4.603,0,19.77,94.9,26,1708967374.222,2024/02/26,17-09-34.222
27,2.025,1,11.345,0.0,-3.79,0,20.11,102.6,27,1708967374.297,2024/02/26,17-09-34.297
27,2.025,2,1.85,0.0,-4.603,0,19.77,94.8,27,1708967374.297,2024/02/26,17-09-34.297
28,2.1,1,11.346,0.0,-3.83,0,20.11,102.5,28,1708967374.372,2024/02/26,17-09-34.372
28,2.1,2,1.85,0.0,-4.603,0,19.77,94.8,28,1708967374.372,2024/02/26,17-09-34.372
29,2.175,1,11.346,0.0,-3.83,0,20.11,102.5,29,1708967374.447,2024/02/26,17-09-34.447
29,2.175,2,7.38,0.0,-69.359,0,18.18,65.7,29,1708967374.447,2024/02/26,17-09-34.447
29,2.175,3,1.85,0.0,-4.603,0,19.77,94.8,29,1708967374.447,2024/02/26,17-09-34.447
29,2.175,4,1.26,0.0,-43.995,0,19.36,86.3,29,1708967374.447,2024/02/26,17-09-34.447
29,2.175,5,1.256,0.0,41.722,0,19.02,79.8,29,1708967374.447,2024/02/26,17-09-34.447
30,2.25,1,11.346,0.0,-3.83,0,20.11,102.6,30,1708967374.522,2024/02/26,17-09-34.522
30,2.25,2,1.85,0.0,-4.603,0,19.77,94.8,30,1708967374.522,2024/02/26,17-09-34.522
31,2.325,1,11.346,0.0,-3.83,0,20.11,102.5,31,1708967374.597,2024/02/26,17-09-34.597
31,2.325,2,1.85,0.0,-4.603,0,19.77,94.8,31,1708967374.597,2024/02/26,17-09-34.597
32,2.4,1,11.346,0.0,-3.83,0,20.11,102.5,32,1708967374.672,2024/02/26,17-09-34.672
32,2.4,2,1.85,0.0,-4.603,0,19.76,94.7,32,1708967374.672,2024/02/26,17-09-34.672
33,2.475,1,11.346,0.0,-3.83,0,20.11,102.5,33,1708967374.747,2024/02/26,17-09-34.747
33,2.475,2,1.85,0.0,-4.603,0,19.77,94.8,33,1708967374.747,2024/02/26,17-09-34.747
34,2.55,1,11.346,0.0,-3.83,0,20.11,102.5,34,1708967374.822,2024/02/26,17-09-34.822
34,2.55,2,1.85,0.0,-4.603,0,19.77,94.8,34,1708967374.822,2024/02/26,17-09-34.822
35,2.625,1,11.346,0.0,-3.83,0,20.11,102.6,35,1708967374.897,2024/02/26,17-09-34.897
35,2.625,2,1.85,0.0,-4.603,0,19.77,94.8,35,1708967374.897,2024/02/26,17-09-34.897
36,2.7,1,11.346,0.0,-3.83,0,20.11,102.6,36,1708967374.972,2024/02/26,17-09-34.972
36,2.7,2,1.85,0.0,-4.603,0,19.77,94.9,36,1708967374.972,2024/02/26,17-09-34.972
37,2.775,1,11.346,0.0,-3.83,0,20.11,102.5,37,1708967375.047,2024/02/26,17-09-35.047
37,2.775,2,1.85,0.0,-4.603,0,19.77,94.8,37,1708967375.047,2024/02/26,17-09-35.047
38,2.85,1,11.346,0.0,-3.83,0,20.11,102.5,38,1708967375.122,2024/02/26,17-09-35.122
38,2.85,2,1.85,0.0,-4.603,0,19.76,94.7,38,1708967375.122,2024/02/26,17-09-35.122
39,2.925,1,11.346,0.0,-3.83,0,20.11,102.5,39,1708967375.197,2024/02/26,17-09-35.197
39,2.925,2,1.85,0.0,-4.603,0,19.77,94.8,39,1708967375.197,2024/02/26,17-09-35.197
40,3.0,1,11.346,0.0,-3.83,0,20.11,102.5,40,1708967375.272,2024/02/26,17-09-35.272
