t,x,y,psi,v,
1705159800.721,-10113.7588,-32697.2751,-1.41948238,0.2786,
1705159801.167,-10113.6865,-32697.3528,-0.71712956,0.4006,
1705159801.318,-10113.6323,-32697.3973,-0.75835626,0.3645,
1705159801.566,-10113.6052,-32697.4417,-1.04985538,0.1984,
1705159803.515,-10113.5959,-32697.5645,-0.32794239,0.1853,
1705159806.259,-10113.6940,-32697.7153,-2.49971517,0.5088,
1705159806.459,-10113.7936,-32697.7929,-2.34178188,0.7027,
1705159806.609,-10113.8591,-32697.9517,-2.23309697,0.6371,
1705159806.812,-10113.9135,-32698.0293,-2.30051805,0.4449,
1705159807.058,-10113.9950,-32698.0958,-2.39884827,0.5428,
1705159807.257,-10114.0856,-32698.1844,-2.41431644,0.6683,
1705159807.457,-10114.1943,-32698.2731,-2.35096906,0.7406,
1705159807.657,-10114.2940,-32698.3950,-2.34706237,0.7781,
1705159807.856,-10114.4117,-32698.4947,-2.39944133,0.7396,
1705159808.056,-10114.5114,-32698.5944,-2.44777530,0.7363,
1705159808.256,-10114.6382,-32698.6831,-2.56143177,0.8408,
1705159808.508,-10114.8374,-32698.8049,-2.56261559,0.6734,
1705159808.655,-10114.9008,-32698.8492,-2.50117466,0.6633,
1705159808.811,-10115.0004,-32698.9267,-2.51032631,0.7909,
1705159809.109,-10115.1906,-32699.0485,-2.65762271,0.7818,
1705159809.308,-10115.3354,-32699.1149,-2.63141451,0.5580,
1705159809.454,-10115.3807,-32699.1482,-2.79260559,0.7530,
1705159809.607,-10115.5527,-32699.1923,-2.84967998,1.0957,
1705159809.908,-10115.8243,-32699.3030,-2.80245466,0.6685,
1705159810.053,-10115.8967,-32699.3251,-2.82248608,0.6606,
1705159810.308,-10116.1140,-32699.4025,-2.80352219,0.7326,
1705159810.409,-10116.1773,-32699.4246,-2.85205641,0.6435,
1705159810.752,-10116.3764,-32699.4466,-3.00360612,0.6801,
1705159810.951,-10116.5212,-32699.4686,-2.93625551,0.6225,
1705159811.109,-10116.6027,-32699.4907,-2.81908240,0.4380,
1705159811.351,-10116.6661,-32699.5239,-2.74429481,0.3177,
1705159811.550,-10116.7294,-32699.5460,-2.71390877,0.3989,
1705159811.709,-10116.7928,-32699.5792,-2.55589110,0.3599,
1705159812.150,-10116.8834,-32699.7012,-2.17599112,0.4390,
1705159812.349,-10116.9288,-32699.7677,-2.21372427,0.4165,
1705159812.549,-10116.9831,-32699.8342,-2.38660708,0.4042,
1705159812.749,-10117.0465,-32699.8785,-2.40042568,0.4957,
1705159812.906,-10117.1100,-32699.9450,-2.21710349,0.5766,
1705159813.103,-10117.1644,-32700.0448,-2.06151565,0.5699,
1705159813.348,-10117.2278,-32700.1667,-1.92547994,0.6970,
1705159813.547,-10117.2733,-32700.3220,-2.02203151,0.8183,
1705159813.705,-10117.3458,-32700.4329,-2.12382474,0.7541,
1705159813.947,-10117.4183,-32700.5659,-2.08148554,0.6348,
1705159814.146,-10117.4818,-32700.6768,-1.95184299,0.8931,
1705159814.305,-10117.5363,-32700.8431,-1.84668342,0.9784,
1705159814.546,-10117.5727,-32701.0317,-1.83349905,0.8406,
1705159814.745,-10117.6272,-32701.1980,-1.89188123,0.9371,
1705159814.945,-10117.6907,-32701.3866,-1.77867438,0.9919,
1705159815.145,-10117.7090,-32701.5863,-1.63968776,1.0033,
1705159815.344,-10117.7183,-32701.7859,-1.59470148,1.0013,
1705159815.544,-10117.7186,-32701.9856,-1.57193524,0.9707,
1705159815.744,-10117.7188,-32702.1742,-1.69936355,0.8968,
1705159815.943,-10117.7642,-32702.3406,-1.83739831,0.7784,
1705159816.143,-10117.8005,-32702.4737,-2.08095206,0.6035,
1705159816.343,-10117.8821,-32702.5513,-2.38109020,0.5087,
1705159816.599,-10117.9636,-32702.6288,-2.57442263,0.2745,
1705159817.641,-10118.0102,-32702.8508,-1.61132960,0.5845,
1705159817.840,-10118.0545,-32702.9837,-1.66972169,0.6981,
1705159818.040,-10118.0637,-32703.1390,-1.57193528,0.7211,
1705159818.240,-10118.0548,-32703.2722,-1.60257184,0.7515,
1705159818.439,-10118.0731,-32703.4386,-1.70263013,0.8692,
1705159818.639,-10118.1005,-32703.6161,-1.67048042,0.9197,
1705159818.839,-10118.1097,-32703.8046,-1.61662883,1.1680,
1705159818.996,-10118.1190,-32704.0154,-1.60469009,1.0674,
1705159819.238,-10118.1192,-32704.1707,-1.44498952,0.7827,
1705159819.438,-10118.0832,-32704.3483,-1.39549588,0.9038,
1705159819.637,-10118.0563,-32704.5258,-1.36476115,0.8809,
1705159819.837,-10118.0112,-32704.6923,-1.31465678,0.8891,
1705159820.037,-10117.9662,-32704.8699,-1.39537205,0.9016,
1705159820.237,-10117.9483,-32705.0474,-1.25548413,0.8775,
1705159820.436,-10117.8580,-32705.2028,-1.08122195,0.9725,
1705159820.593,-10117.7857,-32705.3471,-1.08362836,0.9615,
1705159820.886,-10117.6593,-32705.5581,-0.99884653,0.8072,
1705159821.091,-10117.5689,-32705.6913,-0.68546128,0.8009,
1705159821.193,-10117.4966,-32705.7357,-0.61496903,0.7631,
1705159821.391,-10117.4062,-32705.8246,-0.74472201,0.5466,
1705159821.634,-10117.3248,-32705.8913,-0.55196502,0.4688,
1705159821.834,-10117.2344,-32705.9357,-0.37053423,0.4609,
1705159822.034,-10117.1530,-32705.9580,-0.21077121,0.5358,
1705159822.232,-10117.0263,-32705.9804,-0.04557684,0.6307,
1705159823.093,-10116.4651,-32705.7813,0.56601633,0.7451,
1705159823.332,-10116.3112,-32705.7149,0.39585558,0.7207,
1705159823.531,-10116.1754,-32705.6596,0.54573099,0.6162,
1705159823.932,-10116.1027,-32705.4378,1.43113080,0.9000,
1705159824.084,-10116.0754,-32705.2825,1.32556220,0.8196,
1705159824.286,-10116.0300,-32705.1827,1.26811871,0.4126,
1705159824.530,-10116.0300,-32705.1161,1.56965760,0.1225,
