t,x,y,psi,v,covar,,,,,,,,,,,,,,,,,
1705159801,-10113.7588,-32697.2751,-1.41948238,0.2786,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.446000099
1705159801,-10113.6865,-32697.3528,-0.71712956,0.4006,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.151000023
1705159801,-10113.6323,-32697.3973,-0.75835626,0.3645,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.247999907
1705159802,-10113.6052,-32697.4417,-1.04985538,0.1984,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.200000048
1705159802,-10113.5958,-32697.4589,-1.04985538,0,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.200000048
1705159802,-10113.5957,-32697.4647,-1.04985538,0,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,1.549000025
1705159804,-10113.5959,-32697.5645,-0.32794239,0.1853,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.198999882
1705159804,-10113.5865,-32697.5588,-0.32794239,0,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.249000072
1705159804,-10113.5679,-32697.581,-0.32794239,0,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.198999882
1705159804,-10113.5585,-32697.5868,-0.32794239,0,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.200999975
1705159804,-10113.5585,-32697.5868,-0.32794239,0,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.299000025
1705159805,-10113.5584,-32697.5924,-0.32794239,0,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.19900012
1705159805,-10113.5538,-32697.5925,-0.32794239,0,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.200000048
1705159805,-10113.5674,-32697.6035,-0.32794239,0,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.199999809
1705159805,-10113.572,-32697.6034,-0.32794239,0,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.19900012
1705159805,-10113.5718,-32697.6149,-0.32794239,0,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.200000048
1705159806,-10113.5763,-32697.6263,-0.32794239,0,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.199999809
1705159806,-10113.5853,-32697.6378,-0.32794239,0,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.399000168
1705159806,-10113.694,-32697.7153,-2.49971517,0.5088,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.200000048
1705159806,-10113.7936,-32697.7929,-2.34178188,0.7027,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.149999857
1705159807,-10113.8591,-32697.9517,-2.23309697,0.6371,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.203000069
1705159807,-10113.9135,-32698.0293,-2.30051805,0.4449,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.246000051
1705159807,-10113.995,-32698.0958,-2.39884827,0.5428,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.198999882
1705159807,-10114.0856,-32698.1844,-2.41431644,0.6683,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.200000048
1705159807,-10114.1943,-32698.2731,-2.35096906,0.7406,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.200000048
1705159808,-10114.294,-32698.395,-2.34664287,0.7781,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.198999882
1705159808,-10114.4117,-32698.4947,-2.39944133,0.7396,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.200000048
1705159808,-10114.5114,-32698.5944,-2.4477753,0.7363,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.200000048
1705159808,-10114.6382,-32698.6831,-2.56143177,0.8408,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.251999855
1705159809,-10114.8374,-32698.8049,-2.56251493,0.6734,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.147000074
1705159809,-10114.9008,-32698.8492,-2.50117466,0.6633,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.156000137
1705159809,-10115.0004,-32698.9267,-2.51032631,0.7909,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.297999859
1705159809,-10115.1906,-32699.0485,-2.65762271,0.7818,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.19900012
1705159809,-10115.3354,-32699.1149,-2.63141451,0.558,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.145999908
1705159809,-10115.3807,-32699.1482,-2.79260559,0.753,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.153000116
1705159810,-10115.5527,-32699.1923,-2.84967998,1.0957,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.30099988
1705159810,-10115.8243,-32699.303,-2.80245466,0.6685,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.144999981
1705159810,-10115.8967,-32699.3251,-2.82248608,0.6606,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.255000114
1705159810,-10116.114,-32699.4025,-2.80377906,0.7326,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.100999832
1705159810,-10116.1773,-32699.4246,-2.85205641,0.6435,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.343000174
1705159811,-10116.3764,-32699.4466,-3.00360612,0.6801,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.198999882
1705159811,-10116.5212,-32699.4686,-2.93625551,0.6225,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.157999992
1705159811,-10116.6027,-32699.4907,-2.8190824,0.438,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.242000103
1705159811,-10116.6661,-32699.5239,-2.74429481,0.3177,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.198999882
1705159812,-10116.7294,-32699.546,-2.71390877,0.3989,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.159000158
1705159812,-10116.7928,-32699.5792,-2.5558911,0.3599,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.440999985
1705159812,-10116.8834,-32699.7012,-2.176081,0.439,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.198999882
1705159812,-10116.9288,-32699.7677,-2.21372427,0.4165,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.200000048
1705159813,-10116.9831,-32699.8342,-2.38660708,0.4042,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.200000048
1705159813,-10117.0465,-32699.8785,-2.40042568,0.4957,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.156999826
1705159813,-10117.11,-32699.945,-2.21710349,0.5766,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.197000027
1705159813,-10117.1644,-32700.0448,-2.06151565,0.5699,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.245000124
1705159813,-10117.2278,-32700.1667,-1.92547994,0.697,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.198999882
1705159814,-10117.2733,-32700.322,-2.02203151,0.8183,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.157999992
1705159814,-10117.3458,-32700.4329,-2.12382474,0.7541,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.242000103
1705159814,-10117.4183,-32700.5659,-2.08148554,0.6348,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.198999882
1705159814,-10117.4818,-32700.6768,-1.95184299,0.8931,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.159000158
1705159814,-10117.5363,-32700.8431,-1.84668342,0.9784,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.240999937
1705159815,-10117.5727,-32701.0317,-1.83356269,0.8406,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.198999882
1705159815,-10117.6272,-32701.198,-1.89188123,0.9371,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.200000048
1705159815,-10117.6907,-32701.3866,-1.77867438,0.9919,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.200000048
1705159815,-10117.709,-32701.5863,-1.63968776,1.0033,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.19900012
1705159815,-10117.7183,-32701.7859,-1.59470148,1.0013,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.199999809
1705159816,-10117.7186,-32701.9856,-1.57381232,0.9707,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.200000048
1705159816,-10117.7188,-32702.1742,-1.69936355,0.8968,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.19900012
1705159816,-10117.7642,-32702.3406,-1.83739831,0.7784,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.199999809
1705159816,-10117.8005,-32702.4737,-2.08095206,0.6035,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.200000048
1705159816,-10117.8821,-32702.5513,-2.3810902,0.5087,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.256000042
1705159817,-10117.9636,-32702.6288,-2.57442263,0.2745,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.243000031
1705159817,-10117.9824,-32702.6288,-2.57442263,0,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.200999975
1705159817,-10117.9918,-32702.64,-2.57442263,0,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.59800005
1705159818,-10118.0102,-32702.8508,-1.6113296,0.5845,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.198999882
1705159818,-10118.0545,-32702.9837,-1.66972169,0.6981,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.200000048
1705159818,-10118.0637,-32703.139,-1.57193528,0.7211,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.200000048
1705159818,-10118.0548,-32703.2722,-1.60257184,0.7515,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.198999882
1705159818,-10118.0731,-32703.4386,-1.70263013,0.8692,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.200000048
1705159819,-10118.1005,-32703.6161,-1.67048042,0.9197,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.200000048
1705159819,-10118.1097,-32703.8046,-1.61662883,1.168,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.157000065
1705159819,-10118.119,-32704.0154,-1.60463045,1.0674,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.241999865
1705159819,-10118.1192,-32704.1707,-1.44498952,0.7827,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.200000048
1705159819,-10118.0832,-32704.3483,-1.39549588,0.9038,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.19900012
1705159820,-10118.0563,-32704.5258,-1.36476115,0.8809,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.199999809
1705159820,-10118.0112,-32704.6923,-1.31465678,0.8891,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.200000048
1705159820,-10117.9662,-32704.8699,-1.39537205,0.9016,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.200000048
