t,x,y,psi,v,
1706175503.108,47450.0525,-170590.2348,-3.13649195,0.3348,
1706175503.259,47449.9882,-170590.2352,-3.13649196,0.3810,
1706175503.459,47449.9239,-170590.2355,-3.00138615,0.2965,
1706175503.707,47449.8597,-170590.2580,-2.82908974,0.3349,
1706175503.907,47449.7863,-170590.2806,-2.92697652,0.4003,
1706175504.106,47449.7037,-170590.2921,-3.00314251,0.4182,
1706175504.306,47449.6211,-170590.3036,-3.24211284,0.5594,
1706175504.458,47449.5199,-170590.2819,-3.34602380,0.6244,
1706175504.663,47449.4095,-170590.2603,-3.34956414,0.4766,
1706175504.904,47449.3175,-170590.2386,-3.29590513,0.4533,
1706175505.105,47449.2164,-170590.2280,-3.23668086,0.5545,
1706175505.304,47449.0969,-170590.2175,-3.04481098,0.6012,
1706175505.504,47448.9777,-170590.2514,-2.97008010,0.6781,
1706175505.758,47448.7848,-170590.2635,-3.19977412,0.5191,
1706175505.903,47448.7296,-170590.2527,-3.20410024,0.5795,
1706175506.055,47448.6102,-170590.2533,-3.16184679,0.6704,
1706175506.303,47448.4907,-170590.2428,-3.17285163,0.5478,
1706175506.502,47448.3712,-170590.2434,-3.28547484,0.5591,
1706175506.702,47448.2700,-170590.2106,-3.41887539,0.6125,
1706175506.954,47448.0952,-170590.1672,-3.45120922,0.5175,
1706175507.101,47448.0400,-170590.1453,-3.38717299,0.4454,
1706175507.300,47447.9388,-170590.1347,-3.33346137,0.5480,
1706175507.600,47447.7640,-170590.0801,-3.45004466,0.5634,
1706175507.800,47447.6628,-170590.0474,-3.39316188,0.5462,
1706175508.000,47447.5524,-170590.0257,-3.60827814,0.6528,
1706175508.152,47447.4602,-170589.9597,-3.71653422,0.6506,
1706175508.551,47447.2210,-170589.8943,3.09228473,0.7608,
1706175508.750,47447.0924,-170589.8950,3.18045744,0.5898,
1706175508.998,47446.9638,-170589.9067,3.28430705,0.5932,
1706175509.198,47446.8353,-170589.9296,3.31748557,0.6526,
1706175509.398,47446.7068,-170589.9524,3.35126490,0.6732,
1706175509.602,47446.5691,-170589.9864,3.43240927,0.6956,
1706175509.797,47446.4407,-170590.0314,3.50454714,0.7198,
1706175509.997,47446.3032,-170590.0876,3.61040478,0.7465,
1706175510.196,47446.1750,-170590.1659,3.72064405,0.7678,
1706175510.396,47446.0468,-170590.2553,3.78686937,0.9502,
1706175510.547,47445.9187,-170590.3558,3.91361189,0.9211,
1706175510.747,47445.8366,-170590.4782,4.14237383,0.7735,
1706175511.045,47445.7091,-170590.6896,4.35649885,0.8028,
1706175511.244,47445.6731,-170590.8451,4.43371042,0.6552,
1706175511.395,47445.6459,-170590.9229,4.61854350,0.7273,
1706175511.644,47445.6749,-170591.1889,4.79417500,0.9781,
1706175511.841,47445.6850,-170591.3664,4.66384050,0.8100,
1706175511.943,47445.6762,-170591.4440,4.71128427,0.7469,
1706175512.242,47445.7507,-170591.6544,4.92695852,0.5911,
1706175512.393,47445.7603,-170591.7320,5.09212388,0.8243,
1706175512.545,47445.8438,-170591.8869,5.16802659,0.9686,
1706175512.792,47445.8997,-170592.0419,5.22623555,0.7783,
1706175512.992,47446.0015,-170592.1856,5.38126437,0.9395,
1706175513.239,47446.1679,-170592.3733,5.42401577,0.7387,
1706175513.391,47446.2233,-170592.4396,5.56759248,0.7042,
1706175513.691,47446.4814,-170592.5935,5.82583707,1.0608,
1706175513.891,47446.6839,-170592.6813,5.90445996,1.1894,
1706175514.040,47446.8588,-170592.7469,5.93615033,1.1541,
1706175514.240,47447.0521,-170592.8125,5.96507253,0.8925,
1706175514.490,47447.2270,-170592.8671,5.98894968,0.7566,
1706175514.688,47447.3742,-170592.9107,6.06458809,0.7558,
1706175514.889,47447.5213,-170592.9321,6.18236460,0.7836,
1706175515.089,47447.6867,-170592.9424,6.28899993,0.7844,
1706175515.287,47447.8337,-170592.9305,6.33045249,0.6695,
1706175515.488,47447.9531,-170592.9299,6.43289792,0.5787,
1706175515.688,47448.0632,-170592.8961,6.42522174,0.6064,
1706175515.886,47448.1918,-170592.8954,6.45655870,0.6541,
1706175516.087,47448.3202,-170592.8504,6.55003417,0.6403,
1706175516.287,47448.4395,-170592.8276,6.62766259,0.5858,
1706175516.486,47448.5403,-170592.7716,6.67146965,0.5956,
1706175516.686,47448.6596,-170592.7377,6.71341712,0.6051,
