X_cor,Y_cor,Amplitude,UnixTime,Xrange,Yrange,Velocity[m/s]
47428.14018,-170603.2173,93.1,1706193951,-0.859374788,2.703124834,-0.3203125
47420.27474,-170620.8384,59.9,1706193951,-0.867187206,21.99999541,5.851563
47420.78257,-170619.9701,58.7,1706193951,-0.976562254,20.99999574,-5.53125
47419.28361,-170615.4924,87.5,1706193951,2.218749677,17.52343373,-0.6484375
47428.07356,-170603.2132,50.2,1706193951,-0.796875134,2.726563055,6.507813
47419.51323,-170619.651,58.4,1706193951,0.312499958,21.22655979,2.601563
47426.58473,-170603.9598,53.3,1706193951,0.257812459,4.01562443,-1.625
47428.38089,-170603.0425,53.2,1706193951,-1.007812482,2.445312007,-6.507813
47421.39237,-170606.2347,93.1,1706193951,4.070312663,8.210937645,-0.6484375
47427.84708,-170603.1824,54.5,1706193951,-0.914062273,2.687500094,-6.507813
47427.34088,-170602.8105,48.0,1706193951,-0.289062544,2.625000312,-6.828125
47426.15593,-170603.9704,54.9,1706193951,0.140624983,4.22656223,6.179688
47427.03871,-170603.3216,55.1,1706193951,-0.289062508,3.218750318,7.15625
47426.72738,-170602.4205,54.2,1706193951,0.437500015,2.601562687,-1.625
47427.17026,-170602.9456,52.3,1706193951,-0.210937531,2.828125455,-9.109375
47419.73375,-170615.0941,55.8,1706193951,0.007812497,17.07030821,-3.25
47417.03495,-170614.4242,89.6,1706193951,2.671874883,17.8671873,-0.6484375
47427.84713,-170602.9827,53.3,1706193951,-0.81250003,2.51562507,-1.625
47427.39464,-170603.0419,51.9,1706193951,-0.453125016,2.796875091,1.625
47417.36409,-170620.3456,49.5,1706193951,-0.625000014,22.7968741,-5.851563
47427.55849,-170603.1025,56.4,1706193951,-0.624999938,2.765624903,-3.25
47427.5773,-170601.0443,83.5,1706193951,0.406249986,0.984375059,-0.3203125
47420.66967,-170605.2829,94.5,1706193951,4.195312358,8.148437732,-0.6484375
47427.79878,-170603.172,93.2,1706193951,-0.867187439,2.703125032,-0.3203125
47426.5485,-170602.5235,55.1,1706193951,0.539062277,2.781250053,-3.25
47428.17966,-170603.4334,56.8,1706193951,-1.328125228,2.734375227,1.945313
47428.1207,-170603.2261,55.8,1706193951,-1.171874895,2.585937571,1.625
47417.5135,-170614.0446,87.6,1706193951,2.453124068,17.29686922,-0.6484375
47426.96875,-170603.0715,54.5,1706193951,-0.101562517,3.039062413,7.484375
47418.18089,-170619.4399,54.0,1706193951,-0.867187242,21.60156054,7.484375
47416.78705,-170614.2141,91.7,1706193951,2.99218759,17.81250084,-0.6484375
47417.2387,-170613.8186,90.3,1706193951,2.804687677,17.24218808,-0.6484375
47428.19031,-170603.6303,54.1,1706193951,-1.437500157,2.898437608,6.828125
47426.45113,-170603.2102,52.3,1706193951,0.273437529,3.421875369,-5.851563
47426.8796,-170602.5468,52.6,1706193951,0.242187499,2.632812277,-7.804688
47427.79205,-170603.168,91.4,1706193951,-0.859374788,2.703124834,-0.3203125
47426.83466,-170603.8816,73.3,1706193951,-0.398437471,3.804687145,-0.3203125
47419.1082,-170616.5666,57.8,1706193951,-0.203125031,18.65625424,0.96875
47426.15568,-170603.7252,71.0,1706193951,0.265625028,4.015625325,-0.6484375
47421.85635,-170612.6552,58.6,1706193951,-0.578124912,13.89062449,3.25
47420.5627,-170605.1108,92.2,1706193951,4.37500044,8.054687369,-0.6484375
47417.22502,-170617.4953,56.6,1706193951,0.945312424,20.41406447,-9.109375
47416.84285,-170618.8939,57.9,1706193951,0.562499884,21.81249834,-7.804688
47415.90843,-170613.4858,92.1,1706193951,3.226562654,17.77344147,-0.6484375
47416.52053,-170607.6792,91.8,1706193951,5.906248015,12.58593463,-0.6484375
47426.64941,-170604.6915,110.1,1706193951,-0.914062718,4.523437496,-0.3203125
47427.24012,-170602.7984,51.7,1706193951,-0.367187506,2.617187591,-5.53125
47421.28698,-170611.4505,59.6,1706193951,-0.14843752,13.11719015,-1.296875
47417.97289,-170610.2336,92.7,1706193951,3.289061896,13.92187236,-0.6484375
47421.0868,-170612.7215,61.2,1706193951,-0.679687492,14.2890638,-6.507813
47426.53893,-170603.9923,53.9,1706193951,-0.437500014,4.00000035,8.78125
47416.53756,-170613.2544,92.4,1706193951,2.828125285,17.23437672,-0.6484375
47423.38585,-170619.405,59.2,1706193951,-6.273436322,18.60937364,7.484375
47419.55167,-170612.9086,62.0,1706193951,0.500000122,15.2890664,2.601563
47416.57468,-170616.1122,60.0,1706193951,1.226562284,19.6015616,7.484375
47427.58675,-170603.1386,96.5,1706193951,-0.843750054,2.710937519,-0.3203125
47419.68289,-170615.5665,83.9,1706193951,-1.070312602,17.43750303,-0.6484375
47425.68478,-170603.9261,59.7,1706193951,0.31250005,4.414062877,-6.828125
47419.40889,-170614.7036,58.8,1706193951,-0.367187361,16.86718376,-4.226563
47415.68823,-170613.2661,92.4,1706193952,3.531250982,17.71093593,-0.6484375
47417.84918,-170617.2311,58.9,1706193952,-0.453125112,19.83593516,-7.484375
47417.9162,-170610.1777,90.2,1706193952,3.367186837,13.90624962,-0.6484375
47427.56717,-170603.1258,89.5,1706193952,-0.820312315,2.71093728,-0.3203125
47416.29348,-170613.0284,93.3,1706193952,3.156248246,17.17968341,-0.6484375
47426.3563,-170603.1896,53.5,1706193952,0.156249981,3.42968762,-6.179688
47417.10244,-170607.875,88.6,1706193952,5.312499702,12.42968943,-0.6484375
47420.29495,-170614.3233,57.5,1706193952,-0.898437736,16.06250308,-3.578125
47416.45268,-170607.5691,90.6,1706193952,6.023436488,12.53124889,-0.6484375
47417.68591,-170615.7023,56.7,1706193952,0.52343737,18.64843534,2.921875
47425.92177,-170603.3526,74.3,1706193952,0.429687481,3.804687211,-0.6484375
47425.88846,-170603.5738,53.9,1706193952,0.335937496,4.007812391,-7.804688
47426.59514,-170604.6745,109.6,1706193952,-0.859374912,4.539063076,-0.3203125
47416.02889,-170613.4456,92.2,1706193952,3.835937805,17.45312012,-0.6484375
47426.87869,-170604.6316,60.2,1706193952,-0.953124583,4.320312393,-1.945313
47416.58486,-170613.414,92.8,1706193952,3.375000673,17.14062969,-0.6484375
47426.53745,-170603.1623,51.8,1706193952,0.093749996,3.23437559,-8.460938
47427.34331,-170602.6975,53.3,1706193952,-0.35937497,2.421874876,-7.804688
47426.4205,-170603.7842,53.3,1706193952,-0.124999985,3.828124728,8.132813
47418.33204,-170616.9163,59.6,1706193952,0.078125007,19.25000147,4.554688
47426.31992,-170603.724,54.4,1706193952,-0.0078125,3.828125028,-8.460938
47417.86357,-170619.8311,58.5,1706193952,-1.015625306,21.9921911,-1.945313
47426.10265,-170603.585,76.4,1706193952,0.25000004,3.820312778,-0.6484375
47421.23935,-170613.3478,82.6,1706193952,-0.585937475,14.69531327,-0.3203125
47416.63956,-170608.0398,90.6,1706193952,6.085937614,12.50000181,-0.6484375
47426.73525,-170604.5822,109.5,1706193952,-0.804687286,4.351562338,-0.3203125
47426.60485,-170603.4302,78.9,1706193952,-0.101562486,3.429687557,-0.3203125
47417.93601,-170610.3169,89.5,1706193952,3.804686707,13.78906145,-0.6484375
47421.88628,-170612.342,86.6,1706193952,-0.625000082,13.50000015,-0.3203125
47425.74851,-170603.3096,75.1,1706193952,0.695312703,3.76562521,-0.6484375
47415.82627,-170613.2517,92.4,1706193952,4.109373749,17.39062577,-0.6484375
47416.43955,-170613.0176,90.1,1706193952,3.703124433,16.87500234,-0.6484375
