X_cor,Y_cor,Amplitude,UnixTime,Xrange,Yrange,Velocity[m/s]
47449.21069335498,-170595.80408695716,85.3,1706193911.594,-0.0937500036828137,4.023436914958463,0.0
47449.21069335498,-170595.80408695716,85.4,1706193911.644,-0.0937500036828137,4.023436914958463,0.0
47448.25852702015,-170596.15969480373,89.8,1706193913.894,1.3515625290944728,4.617187716949329,-0.3203125
47450.17545041269,-170595.56718947316,81.3,1706193914.294,-0.0312500011576973,3.2343750373300315,-0.3203125
47448.85898096991,-170596.43233343188,85.5,1706193914.344,0.8515624584930757,4.5390619822036165,-0.3203125
47449.68933055084,-170595.779462355,80.5,1706193914.344,0.3359375300367678,3.617187802759043,-0.6484375
47449.20314493617,-170595.68343554967,82.7,1706193914.594,0.296875009625075,3.820312340314613,-0.6484375
47448.95281664378,-170596.2254509499,84.8,1706193914.594,0.2343750085226883,4.414062033295408,-0.6484375
47448.63601399628,-170596.24430722746,90.0,1706193914.694,0.3046874572283563,4.609374798577755,-0.6484375
47449.00619490294,-170595.53432210867,81.9,1706193914.694,0.3828125411556363,3.812500125977042,-0.6484375
47450.36130488689,-170595.43426449376,81.8,1706193914.794,-0.5859373278361366,2.984374868050133,-0.3203125
47449.196929650265,-170595.7198302576,83.9,1706193914.844,0.2734374992798392,3.820312906213781,-0.6484375
47449.096733017424,-170595.91441761318,82.8,1706193914.894,0.3203124796044275,4.007812364105094,-0.6484375
47448.97857030241,-170596.11081974173,85.7,1706193914.994,0.3437499877376534,4.2109376864251225,-0.6484375
47448.92672100351,-170596.4107864467,88.0,1706193915.194,0.4843750123059414,4.398437637188644,-0.6484375
47449.1507171839,-170596.06597140746,82.8,1706193915.294,0.0624999981186041,4.023437592428168,-0.3203125
47449.294640710585,-170596.25180331018,82.1,1706193915.544,0.1171874757317703,4.023437748526453,-0.6484375
47449.26344125919,-170596.22270027734,83.4,1706193915.644,-0.2187500130448472,4.015625242105378,-0.3203125
47448.57652486937,-170596.23821330635,90.5,1706193915.994,0.4453124695612154,4.203124858204226,-0.6484375
47449.22117345774,-170595.69390187762,82.9,1706193916.144,-0.2343749979119909,3.421874850431815,-0.3203125
47447.867495533,-170596.50047927097,87.5,1706193916.194,0.5312499820405095,4.781249645177604,-0.6484375
47449.254540015165,-170595.76113658873,80.8,1706193916.194,-0.2578124771098645,3.4218746296402323,-0.3203125
47449.34573201049,-170596.02913509592,82.6,1706193916.244,-0.4765624683245578,3.601562195188277,-0.3203125
47449.30153888062,-170595.84996385226,80.1,1706193916.344,-0.1874999705498926,3.421874865202962,-0.3203125
47449.267782253526,-170595.46873288654,80.3,1706193916.394,0.1328124678376644,3.039062312910985,-0.3203125
47449.263809994,-170596.12240806228,81.3,1706193916.394,-0.1406249685182724,3.632812245673899,-0.3203125
47448.52936482951,-170596.6412971277,84.9,1706193916.444,0.30468755419679,4.414062729807267,-0.3203125
47448.52228859759,-170596.6379862325,85.2,1706193916.444,0.31250004965818,4.414062876906563,-0.6484375
47448.79714636239,-170596.16855120737,80.7,1706193916.494,0.3203124897369593,3.8124999118088527,-0.6484375
47447.51936214591,-170596.48195804056,82.8,1706193916.494,1.3671872487899472,4.609374799014523,-0.6484375
47449.23495883146,-170596.4186745651,82.6,1706193916.644,-0.2031249819474378,3.820312761331178,-0.3203125
47449.47338613451,-170596.07870862976,80.1,1706193916.644,-0.2890625381800485,3.414062650612157,-0.3203125
47449.311813777385,-170595.82677622145,81.1,1706193916.694,-0.2734375632706607,3.2187504186141247,-0.3203125
47448.82011299102,-170596.2606230603,84.4,1706193916.694,-0.0312500063523254,3.828125451067661,-0.3203125
47448.442659915934,-170596.27936550943,85.0,1706193916.744,0.2968750188586449,4.015624974052442,-0.6484375
47448.15846842656,-170596.37336807558,87.4,1706193916.794,0.3359374619907841,4.210937150978056,-0.6484375
47449.25534998787,-170595.71681471606,81.5,1706193916.894,-0.0546874990328995,3.0390629930086224,-0.3203125
47448.18460932864,-170596.2639678216,85.9,1706193916.894,0.726562752955337,3.953125421943751,-0.3203125
47449.09397411898,-170596.2925226925,82.4,1706193916.944,-0.1249999739294958,3.632812099181793,-0.3203125
47449.069952309146,-170595.73561696868,82.2,1706193917.144,-0.0234375007044463,3.0390626253780506,-0.3203125
47448.28822634944,-170596.2582964747,84.4,1706193917.244,0.2500000404104923,3.8203127775158334,-0.3203125
47447.72175814792,-170596.5279664283,85.0,1706193917.394,0.789062439695914,4.148438084973323,-0.3203125
